data_trimestre;trimestre;bandeira;funcao;qtd_estab_credenciados;qtd_estab_ativos
2021-12-31;4;MasterCard;Crédito;41442469;9496917
2021-12-31;4;Hipercard;Pré-pago;10907860;3267435
2021-12-31;4;Outras;Crédito;15083662;356550
2021-12-31;4;Outras;Débito;15030200;228734
2021-12-31;4;VISA;Pré-pago;26423408;4981523
2021-12-31;4;Diners Club;Crédito;12344905;11287
2021-12-31;4;American Express;Crédito;39737501;7626277
2021-12-31;4;VISA;Crédito;41448568;9531209
2021-12-31;4;Bandeira Própria;Débito;375896;140372
2021-12-31;4;American Express;Débito;1645303;1
2021-12-31;4;American Express;Pré-pago;1166547;1
2021-12-31;4;Elo;Débito;40443621;8644691
2021-12-31;4;Bandeira Própria;Pré-pago;305702;120110
2021-12-31;4;VISA;Débito;41131793;8708807
2021-12-31;4;MasterCard;Pré-pago;26409043;4872387
2021-12-31;4;Bandeira Própria;Crédito;531627;187418
2022-03-31;1;Bandeira Própria;Débito;304865;117880
2022-03-31;1;MasterCard;Crédito;44251004;9548647
2022-03-31;1;Bandeira Própria;Crédito;471132;181402
2022-03-31;1;VISA;Crédito;44274863;9485377
2022-03-31;1;American Express;Crédito;42530457;7666313
2022-03-31;1;Hipercard;Débito;1155465;148
2022-03-31;1;Elo;Crédito;43579375;8885973
2022-03-31;1;MasterCard;Pré-pago;28315592;4779939
2022-03-31;1;MasterCard;Débito;44181203;8485164
2022-03-31;1;Hipercard;Crédito;42863675;7590912
2022-03-31;1;Outras;Crédito;16521005;268231
2022-03-31;1;Elo;Débito;43525491;8405612
2022-03-31;1;VISA;Débito;44194463;8486087
2022-03-31;1;Bandeira Própria;Pré-pago;306330;118292
2022-03-31;1;Hipercard;Pré-pago;11241884;3274296
2022-03-31;1;Diners Club;Crédito;13547291;11726
2022-03-31;1;American Express;Débito;1867088;4
2022-03-31;1;Outras;Débito;16514591;214022
2022-03-31;1;VISA;Pré-pago;28347762;4936787
2022-03-31;1;Elo;Pré-pago;28321929;4760373
2022-06-30;2;Elo;Crédito;46519291;8776836
2022-06-30;2;Elo;Débito;46465480;8080540
2022-06-30;2;Hipercard;Débito;3326728;142
2022-06-30;2;MasterCard;Débito;47211225;8179160
2022-06-30;2;American Express;Débito;2004864;6
2022-06-30;2;Bandeira Própria;Débito;304721;116051
2022-06-30;2;Hipercard;Crédito;45777262;7468194
2022-06-30;2;VISA;Crédito;47287546;9354462
2022-06-30;2;Outras;Débito;18467185;198510
2022-06-30;2;VISA;Débito;47224374;8176385
2022-06-30;2;Diners Club;Crédito;15302646;12638
2022-06-30;2;Bandeira Própria;Crédito;476168;174177
2022-06-30;2;Elo;Pré-pago;30583020;4678337
2022-06-30;2;Hipercard;Pré-pago;11449301;3209492
2022-06-30;2;Outras;Crédito;18475378;208197
2022-06-30;2;VISA;Pré-pago;30680428;4872279
2022-06-30;2;MasterCard;Crédito;47282119;9413006
2022-06-30;2;MasterCard;Pré-pago;30666689;4920718
2022-06-30;2;American Express;Pré-pago;1196836;3
2022-06-30;2;American Express;Crédito;45454329;7591480
2022-06-30;2;Bandeira Própria;Pré-pago;306280;116482
2022-09-30;3;MasterCard;Pré-pago;32672415;5275254
2022-09-30;3;Diners Club;Crédito;16837324;15031
2022-09-30;3;Outras;Crédito;20310675;176955
2022-09-30;3;Elo;Pré-pago;32583029;4622096
2022-09-30;3;MasterCard;Débito;51842827;9272540
2022-09-30;3;Hipercard;Crédito;48576572;7351139
2022-09-30;3;VISA;Pré-pago;32687176;4814397
2022-09-30;3;Outras;Pré-pago;304785;24
2022-09-30;3;Outras;Débito;20307252;185953
2022-09-30;3;Bandeira Própria;Débito;306106;115114
2022-09-30;3;Hipercard;Débito;3382651;93
2022-09-30;3;American Express;Pré-pago;1099455;1
2022-09-30;3;VISA;Crédito;51917253;10520820
2022-09-30;3;Hipercard;Pré-pago;11643141;3166048
2022-09-30;3;American Express;Crédito;48351915;7540026
2022-09-30;3;MasterCard;Crédito;51909671;10582362
2022-09-30;3;Elo;Débito;51080140;9171966
2022-09-30;3;Bandeira Própria;Pré-pago;307719;115566
2022-09-30;3;VISA;Débito;51855685;9282579
2022-09-30;3;Bandeira Própria;Crédito;482767;173917
2022-09-30;3;Elo;Crédito;51136833;9939231
2022-12-31;4;Bandeira Própria;Pré-pago;323040;115543
2022-12-31;4;Bandeira Própria;Crédito;814013;224519
2022-12-31;4;Outras;Crédito;20838260;155413
2022-12-31;4;MasterCard;Pré-pago;33846137;5376689
2022-12-31;4;Elo;Débito;52913891;9108830
2022-12-31;4;Bandeira Própria;Débito;321172;114973
2022-12-31;4;Elo;Crédito;52973434;9885589
2022-12-31;4;MasterCard;Débito;53677192;9224483
2022-12-31;4;Diners Club;Crédito;17107494;16610
2022-12-31;4;Hipercard;Pré-pago;11807843;3090122
2022-12-31;4;Hipercard;Débito;1142044;100
2022-12-31;4;VISA;Crédito;53756293;10581161
2022-12-31;4;American Express;Débito;2333506;10
2022-12-31;4;Hipercard;Crédito;50328958;7139506
2022-12-31;4;MasterCard;Crédito;53748615;10651341
2022-12-31;4;American Express;Crédito;49646576;7366325
2022-12-31;4;Outras;Pré-pago;320051;68
2022-12-31;4;Outras;Débito;20832939;189942
2022-12-31;4;VISA;Pré-pago;33860838;4837809
2022-12-31;4;Elo;Pré-pago;33748053;4601159
2022-12-31;4;VISA;Débito;53690047;9246072
2023-03-31;1;MasterCard;Pré-pago;34950606;5110259
2023-03-31;1;American Express;Crédito;50943558;7099279
2023-03-31;1;Diners Club;Crédito;17317071;16259
2023-03-31;1;VISA;Crédito;55417703;10257127
2023-03-31;1;Outras;Débito;21405113;177097
2023-03-31;1;Elo;Pré-pago;34814411;4333525
2023-03-31;1;Hipercard;Crédito;51742966;6829588
2023-03-31;1;Bandeira Própria;Pré-pago;323070;114988
2023-03-31;1;Hipercard;Pré-pago;12004124;3006246
2023-03-31;1;MasterCard;Débito;55325630;8953742
2023-03-31;1;American Express;Débito;2616985;11
2023-03-31;1;MasterCard;Crédito;55427241;10344614
2023-03-31;1;Outras;Pré-pago;320051;923
2023-03-31;1;Elo;Débito;54544708;8789289
2023-03-31;1;Hipercard;Débito;1197315;45
2023-03-31;1;VISA;Débito;55338523;8944472
2023-03-31;1;VISA;Pré-pago;34948356;4609253
2023-03-31;1;Outras;Crédito;23282904;1214339
2023-03-31;1;Bandeira Própria;Crédito;825070;226528
2023-03-31;1;Elo;Crédito;54608144;9560165
2023-03-31;1;Bandeira Própria;Débito;320937;114187
2023-06-30;2;Elo;Crédito;56255428;9590127
2023-06-30;2;Elo;Pré-pago;41473578;5527022
2023-06-30;2;Bandeira Própria;Crédito;518363;174211
2023-06-30;2;Hipercard;Crédito;53371810;6745100
2023-06-30;2;Elo;Débito;56190702;8785399
2023-06-30;2;Bandeira Própria;Débito;320757;115080
2023-06-30;2;Bandeira Própria;Pré-pago;321993;115458
2023-06-30;2;Diners Club;Crédito;17458462;16438
2023-06-30;2;VISA;Débito;56997082;8959237
2023-06-30;2;Hipercard;Débito;1181472;12
2023-06-30;2;VISA;Crédito;57078224;10316333
2023-06-30;2;MasterCard;Pré-pago;42313329;6402809
2023-06-30;2;Hipercard;Pré-pago;12292376;2965568
2023-06-30;2;Outras;Pré-pago;319983;3886
2023-06-30;2;MasterCard;Débito;56983362;8981817
2023-06-30;2;VISA;Pré-pago;42295326;6177700
2023-06-30;2;Outras;Débito;23796367;1318711
2023-06-30;2;MasterCard;Crédito;57099729;10432705
2023-06-30;2;Outras;Crédito;23809372;1285070
2023-06-30;2;American Express;Crédito;52119649;7053314
2023-09-30;3;Diners Club;Crédito;17562427;14893
2023-09-30;3;Bandeira Própria;Pré-pago;321830;118319
2023-09-30;3;MasterCard;Crédito;59585413;10322887
2023-09-30;3;Outras;Crédito;22181474;113567
2023-09-30;3;Outras;Débito;22168538;141023
2023-09-30;3;Bandeira Própria;Crédito;525523;177819
2023-09-30;3;Elo;Débito;58650513;8553027
2023-09-30;3;Elo;Crédito;58739815;9393376
2023-09-30;3;Elo;Pré-pago;43497232;5473110
2023-09-30;3;American Express;Crédito;55599376;7020766
2023-09-30;3;VISA;Pré-pago;44327925;6230322
2023-09-30;3;VISA;Crédito;59560376;10166239
2023-09-30;3;MasterCard;Pré-pago;44345845;6361971
2023-09-30;3;Outras;Pré-pago;319740;6374
2023-09-30;3;Hipercard;Crédito;55749388;6696191
2023-09-30;3;Hipercard;Débito;1144037;19
2023-09-30;3;Hipercard;Pré-pago;12512328;3006380
2023-09-30;3;VISA;Débito;59465946;8734811
2023-09-30;3;Bandeira Própria;Débito;320515;117608
2023-09-30;3;MasterCard;Débito;59452206;8798612
2023-12-31;4;Diners Club;Crédito;17527269;15188
2023-12-31;4;MasterCard;Pré-pago;45702792;6341927
2023-12-31;4;Hipercard;Débito;1024760;15
2023-12-31;4;VISA;Débito;61234420;8671309
2023-12-31;4;Outras;Crédito;23570050;1072464
2023-12-31;4;Elo;Débito;60398928;8429472
2023-12-31;4;Bandeira Própria;Débito;321765;118874
2023-12-31;4;VISA;Crédito;61341993;10223288
2023-12-31;4;Outras;Pré-pago;321264;7848
2023-12-31;4;Hipercard;Crédito;57393166;6594757
2023-12-31;4;Bandeira Própria;Crédito;530812;190219
2023-12-31;4;Bandeira Própria;Pré-pago;323354;119792
2023-12-31;4;VISA;Pré-pago;45685002;6261909
2023-12-31;4;Hipercard;Pré-pago;12687931;3048523
2023-12-31;4;Outras;Débito;24395345;1109842
2023-12-31;4;Elo;Crédito;60490761;9296648
2023-12-31;4;Elo;Pré-pago;44834500;5468957
2023-12-31;4;MasterCard;Crédito;61363213;10448087
2023-12-31;4;MasterCard;Débito;61220730;8810277
2023-12-31;4;American Express;Crédito;56802691;6925146
2024-03-31;1;Diners Club;Crédito;17573129;15635
2024-03-31;1;MasterCard;Débito;62908513;8921878
2024-03-31;1;Elo;Crédito;62135683;9320918
2024-03-31;1;Bandeira Própria;Débito;468908;145370
2024-03-31;1;VISA;Pré-pago;46714157;5963989
2024-03-31;1;Bandeira Própria;Pré-pago;325062;119001
2024-03-31;1;MasterCard;Pré-pago;46720586;6012251
2024-03-31;1;Bandeira Própria;Crédito;677956;195508
2024-03-31;1;Outras;Pré-pago;322972;8684
2024-03-31;1;Outras;Débito;23796370;1056536
2024-03-31;1;VISA;Crédito;63013305;10496657
2024-03-31;1;MasterCard;Crédito;63022313;10815572
2024-03-31;1;Hipercard;Crédito;58893418;6332033
2024-03-31;1;Hipercard;Débito;961457;11
2024-03-31;1;Outras;Crédito;23801300;1022568
2024-03-31;1;American Express;Crédito;59092464;6757105
2024-03-31;1;Elo;Pré-pago;45836366;5149273
2024-03-31;1;Elo;Débito;62029285;8409368
2024-03-31;1;VISA;Débito;62901833;8738402
2024-06-30;2;MasterCard;Débito;65781163;8975345
2024-06-30;2;Elo;Crédito;64997729;9280747
2024-06-30;2;Bandeira Própria;Pré-pago;1515135;216441
2024-06-30;2;VISA;Pré-pago;49104228;5921145
2024-06-30;2;Outras;Crédito;24444972;973889
2024-06-30;2;American Express;Crédito;61856673;6682181
2024-06-30;2;Outras;Débito;24440080;1000269
2024-06-30;2;VISA;Crédito;65892833;10678336
2024-06-30;2;Elo;Débito;64892617;8318741
2024-06-30;2;Hipercard;Débito;959876;2
2024-06-30;2;Diners Club;Crédito;17952227;14016
2024-06-30;2;Bandeira Própria;Crédito;1909560;269196
2024-06-30;2;Hipercard;Pré-pago;13006220;3018082
2024-06-30;2;Bandeira Própria;Débito;502187;145039
2024-06-30;2;Elo;Pré-pago;48199465;5072459
2024-06-30;2;MasterCard;Pré-pago;49110639;5951550
2024-06-30;2;VISA;Débito;65774512;8763805
2024-06-30;2;Outras;Pré-pago;325653;9055
2024-06-30;2;MasterCard;Crédito;65901791;11053844
2024-06-30;2;Hipercard;Crédito;61688206;6178836
2024-09-30;3;MasterCard;Crédito;69918053;11286635
2024-09-30;3;VISA;Crédito;69897023;10852180
2024-09-30;3;Bandeira Própria;Crédito;1966251;275069
2024-09-30;3;Diners Club;Crédito;18099628;13667
2024-09-30;3;American Express;Pré-pago;15;2
2024-09-30;3;Outras;Débito;25793034;963290
2024-09-30;3;Elo;Débito;68840531;8228499
2024-09-30;3;VISA;Débito;69753015;8721723
2024-09-30;3;Hipercard;Crédito;65615847;5900532
2024-09-30;3;Elo;Pré-pago;51753464;4918662
2024-09-30;3;Elo;Crédito;68968465;9204836
2024-09-30;3;American Express;Débito;344;3
2024-09-30;3;Outras;Crédito;25805784;944246
2024-09-30;3;MasterCard;Débito;69739224;9002280
2024-09-30;3;MasterCard;Pré-pago;52701069;5792491
2024-09-30;3;Bandeira Própria;Débito;541514;147261
2024-09-30;3;VISA;Pré-pago;52683400;5835268
2024-09-30;3;Hipercard;Pré-pago;13237432;2997952
2024-09-30;3;Hipercard;Débito;994585;1
2024-09-30;3;American Express;Crédito;65365243;6516615
2024-09-30;3;Bandeira Própria;Pré-pago;1542405;224113
2024-09-30;3;Outras;Pré-pago;1323818;13379
2024-12-31;4;American Express;Crédito;68184866;6415479
2024-12-31;4;Bandeira Própria;Débito;584478;151172
2024-12-31;4;American Express;Débito;12;12
2024-12-31;4;Hipercard;Débito;1019765;1
2024-12-31;4;MasterCard;Débito;72672015;9242509
2024-12-31;4;MasterCard;Pré-pago;55029202;5853266
2024-12-31;4;Outras;Crédito;26207934;913628
2024-12-31;4;Outras;Pré-pago;1350318;17795
2024-12-31;4;MasterCard;Crédito;72833688;11831797
2024-12-31;4;Outras;Débito;26195208;932600
2024-12-31;4;Diners Club;Crédito;18242658;14051
2024-12-31;4;Hipercard;Crédito;68376956;5663219
2024-12-31;4;Elo;Débito;71746980;8263359
2024-12-31;4;VISA;Crédito;72807455;11274096
2024-12-31;4;Elo;Pré-pago;54060298;4881717
2024-12-31;4;VISA;Pré-pago;55011416;5952387
2024-12-31;4;Elo;Crédito;71857891;9197995
2024-12-31;4;Bandeira Própria;Crédito;1975244;276520
2024-12-31;4;American Express;Pré-pago;10;10
2024-12-31;4;VISA;Débito;72680858;9009750
2024-12-31;4;Bandeira Própria;Pré-pago;1561196;298143
2025-03-31;1;Outras;Pré-pago;1412468;25440
2025-03-31;1;Elo;Pré-pago;58181077;5049053
2025-03-31;1;VISA;Crédito;77562189;13024260
2025-03-31;1;American Express;Débito;19;19
2025-03-31;1;VISA;Pré-pago;59098024;6590187
2025-03-31;1;Bandeira Própria;Crédito;2048903;277350
2025-03-31;1;American Express;Pré-pago;10;10
2025-03-31;1;American Express;Crédito;72950453;6419416
2025-03-31;1;Elo;Crédito;76645468;10017469
2025-03-31;1;MasterCard;Pré-pago;59115927;6773334
2025-03-31;1;Elo;Débito;76312087;8941377
2025-03-31;1;VISA;Débito;77213270;10017806
2025-03-31;1;Outras;Crédito;24417514;101262
2025-03-31;1;Hipercard;Crédito;72307868;5541723
2025-03-31;1;Hipercard;Débito;1066742;5
2025-03-31;1;Bandeira Própria;Pré-pago;1582773;282199
2025-03-31;1;MasterCard;Débito;77199371;10077736
2025-03-31;1;Outras;Débito;24396248;108400
2025-03-31;1;Diners Club;Crédito;46642637;4467583
2025-03-31;1;Bandeira Própria;Débito;638743;143628
2025-03-31;1;MasterCard;Crédito;77583368;13855794
2025-06-30;2;Outras;Débito;27013946;846434
2025-06-30;2;VISA;Pré-pago;63847834;6662474
2025-06-30;2;Hipercard;Crédito;80315697;5324503
2025-06-30;2;Elo;Débito;87011778;9108712
2025-06-30;2;VISA;Débito;87940245;10263640
2025-06-30;2;Diners Club;Crédito;47634752;4417245
2025-06-30;2;Bandeira Própria;Débito;690262;158948
2025-06-30;2;Elo;Pré-pago;62903531;4966424
2025-06-30;2;MasterCard;Crédito;88318322;14532897
2025-06-30;2;Outras;Crédito;24746435;96750
2025-06-30;2;American Express;Crédito;83532679;6355136
2025-06-30;2;Hipercard;Débito;1103148;6
2025-06-30;2;MasterCard;Débito;87926622;10294870
2025-06-30;2;American Express;Débito;13;13
2025-06-30;2;Elo;Crédito;87357691;10271487
2025-06-30;2;American Express;Pré-pago;8;8
2025-06-30;2;Outras;Pré-pago;1472975;25395
2025-06-30;2;Bandeira Própria;Crédito;2123245;292325
2025-06-30;2;MasterCard;Pré-pago;63865684;6858482
2025-06-30;2;Bandeira Própria;Pré-pago;1624364;260766
2025-06-30;2;VISA;Crédito;88297294;13639119
2025-09-30;3;American Express;Débito;9;9
2025-09-30;3;MasterCard;Débito;93918023;10302481
2025-09-30;3;Bandeira Própria;Crédito;2114835;298665
2025-09-30;3;American Express;Pré-pago;8;8
2025-09-30;3;Hipercard;Crédito;69901505;5070456
2025-09-30;3;Diners Club;Crédito;48495882;4456287
2025-09-30;3;Elo;Pré-pago;68413298;4914214
2025-09-30;3;VISA;Débito;93931631;10235939
2025-09-30;3;American Express;Crédito;89520032;6376669
2025-09-30;3;VISA;Crédito;94352849;13942356
2025-09-30;3;Outras;Crédito;27449613;817146
2025-09-30;3;Bandeira Própria;Pré-pago;1607473;264617
2025-09-30;3;Outras;Pré-pago;1462316;26376
2025-09-30;3;Bandeira Própria;Débito;653345;166090
2025-09-30;3;MasterCard;Crédito;94373739;14900262
2025-09-30;3;Elo;Crédito;93451729;10402462
2025-09-30;3;MasterCard;Pré-pago;69332540;6757305
2025-09-30;3;Elo;Débito;93045870;9137995
2025-09-30;3;Outras;Débito;27430794;805595
2025-09-30;3;VISA;Pré-pago;69314636;6629215
2025-12-31;4;American Express;Crédito;95988217;6511635
2025-12-31;4;MasterCard;Débito;100417623;10415717
2025-12-31;4;Outras;Débito;27814794;771583
2025-12-31;4;American Express;Pré-pago;4;4
2025-12-31;4;Bandeira Própria;Débito;611029;173437
2025-12-31;4;VISA;Pré-pago;73027164;6779574
2025-12-31;4;MasterCard;Crédito;101093656;15215240
2025-12-31;4;MasterCard;Pré-pago;73045036;6849754
2025-12-31;4;Outras;Crédito;25472193;92518
2025-12-31;4;American Express;Débito;9;9
2025-12-31;4;Elo;Débito;99512926;9272556
2025-12-31;4;Bandeira Própria;Crédito;2114181;325683
2025-12-31;4;Outras;Pré-pago;1466687;28159
2025-12-31;4;VISA;Crédito;101072802;14267915
2025-12-31;4;Elo;Pré-pago;72098204;5014352
2025-12-31;4;Diners Club;Crédito;49404603;4489836
2025-12-31;4;Hipercard;Crédito;37791541;4996227
2025-12-31;4;VISA;Débito;100426292;10365240
2025-12-31;4;Bandeira Própria;Pré-pago;1581043;283859
2025-12-31;4;Elo;Crédito;100143978;10584156
2026-03-31;1;Bandeira Própria;Débito;603818;172540
2026-03-31;1;American Express;Crédito;101953905;6472133
2026-03-31;1;Diners Club;Crédito;50330176;4441029
2026-03-31;1;MasterCard;Débito;106093780;10260632
2026-03-31;1;Elo;Débito;105119856;9125733
2026-03-31;1;Elo;Crédito;106050606;10470851
2026-03-31;1;MasterCard;Pré-pago;78184142;6783811
2026-03-31;1;Bandeira Própria;Pré-pago;1602506;286844
2026-03-31;1;Outras;Débito;27108156;712405
2026-03-31;1;American Express;Pré-pago;6;6
2026-03-31;1;Hipercard;Crédito;35945257;4825932
2026-03-31;1;VISA;Crédito;107026830;14321952
2026-03-31;1;Elo;Pré-pago;77207181;4938723
2026-03-31;1;Outras;Pré-pago;1508069;28297
2026-03-31;1;VISA;Débito;106086813;10198969
2026-03-31;1;Outras;Crédito;27119732;720774
2026-03-31;1;Bandeira Própria;Crédito;2036402;296986
2026-03-31;1;VISA;Pré-pago;78177611;6710276
2026-03-31;1;MasterCard;Crédito;107035544;15271464
2026-03-31;1;American Express;Débito;14;14
