data_trimestre;trimestre;valor_pix;valor_ted;valor_tec;valor_cheque;valor_boleto;valor_doc;valor_cartao_credito;valor_cartao_debito;valor_cartao_pre_pago;valor_trans_intrabancaria;valor_convenios;valor_debito_direto;valor_saques;quantidade_pix;quantidade_ted;quantidade_tec;quantidade_cheque;quantidade_boleto;quantidade_doc;quantidade_cartao_credito;quantidade_cartao_debito;quantidade_cartao_pre_pago;quantidade_trans_intrabancaria;quantidade_convenios;quantidade_debito_direto;quantidade_saques
2023-12-31;4;5300155.0;10090921.81;5787.89;221424.78;2327508.06;4684.98;630097.74;259068.31;77819.0;4540791.65;996503.17;714296.78;649886.07;13045670;226471;2572;52101;1460592;4665;4814965;4238794;1895482;325986;669818;2184096;782369
2024-03-31;1;5429304.89;9651625.56;925.26;190457.25;2258604.98;650.8;607630.37;235122.07;71651.73;4311202.94;1084991.83;573141.34;527713.76;13575454;203714;447;46469;1430706;663;4725537;3952517;1794439;277458;716802;2348073;715130
2024-06-30;2;6284282.87;10662555.73;0.0;221553.82;2371064.98;0.0;631876.94;239114.32;76125.48;4913252.28;991482.38;590054.62;598252.38;15356861;203270;0;44982;1447570;0;4881681;4058144;1914370;324945;679483;2427202;736399
2024-09-30;3;6978248.21;11180217.68;0.0;194330.6;2453203.12;0.0;663483.4;241948.01;78144.27;5359184.27;969922.08;628122.71;534070.34;16547565;203394;0;44244;1465842;0;5044928;4122046;1960309;420731;662142;3083950;706359
2024-12-31;4;7712675.03;11647265.67;0.0;187486.45;2539147.15;0.0;729162.4;259947.83;84289.6;5594754.55;1067817.92;705066.03;538526.96;17937160;211018;0;41511;1459124;0;5359236;4282707;2023389;518307;634156;2940721;708263
2025-03-31;1;7469675.23;10767686.14;0.0;170637.93;2372911.5;0.0;697983.77;233608.96;82326.5;5028281.9;1108295.97;637937.45;494934.9;17511885;185476;0;37574;1397397;0;5429802;3972384;2136633;571467;701662;2122590;654731
2025-06-30;2;8362176.53;11392855.71;0.0;175926.02;2465940.6;0.0;734027.5;236373.91;84160.25;5110815.78;1072640.19;688419.84;530813.4;19356205;191105;0;36145;1415606;0;5658871;4030175;2182537;613183;663557;2263537;662924
2025-09-30;3;9272361.54;11551896.44;0.0;172924.49;2570146.3;0.0;765312.61;235731.58;86563.39;6470694.65;1048280.5;733451.68;487599.83;20483979;199487;0;35375;1433214;0;5860368;4086374;2249615;654171;664087;2604196;630964
2025-12-31;4;10215120.76;12143656.98;0.0;163157.52;2607700.46;0.0;832271.2;253820.31;95019.14;6178602.34;1181277.66;730720.85;503458.21;22286515;206888;0;33250;1421927;0;6139634;4303574;2383749;718355;653012;2217937;643200
2026-03-31;1;9702326.6;11370007.86;0.0;144934.57;2425370.19;0.0;813921.65;227630.17;84053.37;8755276.77;1100146.11;733098.34;460180.44;21071509;193530;0;29424;1350359;0;6057829;3966316;2154771;825417;675641;2056892;582464
