data_trimestre;trimestre;canal_acesso;tipo_transacao;detalhe_caixa_eletronico;qtd_transacoes;valor_transacoes
2020-03-31;1;Correspondentes no País;Outras não Financeiras;Não aplicável;2819205;0.00
2020-03-31;1;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Acesso Restrito;106381952;49116218192.03
2020-03-31;1;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Acesso Restrito;16230943;4090220179.89
2020-03-31;1;Agências;Outras Financeiras;Não aplicável;128277203;2674708430604.83
2020-03-31;1;Agências;Outras não Financeiras;Não aplicável;80404439;0.01
2020-03-31;1;Aplicativo do Banco (Mobile Banking);Empréstimos e Financiamentos;Não aplicável;176361601;21505337470.53
2020-03-31;1;Agências;Ordem de Transferência de Crédito;Não aplicável;70485850;2315209104551.63
2020-03-31;1;Posto de Atendimento Cooperativo;Boletos e Convênios;Não aplicável;48926801;39612565961.56
2020-03-31;1;Site do Banco (Internet Banking);Ordem de Transferência de Crédito;Não aplicável;281669998;3851627075512.05
2020-03-31;1;Posto de Atendimento Cooperativo;Outras Financeiras;Não aplicável;74686;1819472560.44
2020-03-31;1;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Cartão Próprio;320883022;0.00
2020-03-31;1;Site do Banco (Internet Banking);Boletos e Convênios;Não aplicável;417164178;870508872700.45
2020-03-31;1;Posto de Atendimento Cooperativo;Ordem de Transferência de Crédito;Não aplicável;6006094;46083522028.26
2020-03-31;1;Centrais de Atendimento;Outras não Financeiras;Não aplicável;54757609;0.00
2020-03-31;1;Centrais de Atendimento;Outras Financeiras;Não aplicável;804912;172571937227.62
2020-03-31;1;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Acesso Restrito;1848157;25508811105.40
2020-03-31;1;Caixa Eletrônico;Depósito;Caixa Eletrônico / Acesso Restrito;143465207;125773909573.82
2020-03-31;1;Correspondentes no País;Boletos e Convênios;Não aplicável;648439483;134302052049.55
2020-03-31;1;Agências;Depósito;Não aplicável;122546245;2225653457260.65
2020-03-31;1;Posto de Atendimento Cooperativo;Saque;Não aplicável;9707790;6621158216.87
2020-03-31;1;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Cartão Próprio;777841;26185773558.79
2020-03-31;1;Agências;Consulta Saldo/Extrato;Não aplicável;130629282;20.00
2020-03-31;1;Centrais de Atendimento;Empréstimos e Financiamentos;Não aplicável;1291325;16790289545.74
2020-03-31;1;Caixa Eletrônico;Saque;Caixa Eletrônico / Cartão Próprio;139890675;60387951043.31
2020-03-31;1;Site do Banco (Internet Banking);Outras não Financeiras;Não aplicável;1787190497;0.00
2020-03-31;1;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Banco24Horas (Terceiros);22687;20227972.43
2020-03-31;1;Correspondentes no País;Depósito;Não aplicável;127951005;47957394282.26
2020-03-31;1;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Cartão Próprio;7971370;8606256765.03
2020-03-31;1;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Banco24Horas (Terceiros);1260507;879202361.27
2020-03-31;1;Posto de Atendimento Cooperativo;Depósito;Não aplicável;3846669;7477399826.44
2020-03-31;1;Caixa Eletrônico;Depósito;Caixa Eletrônico / Cartão Próprio;48114079;52020179721.71
2020-03-31;1;Correspondentes no País;Saque;Não aplicável;157684937;67975296324.26
2020-03-31;1;Centrais de Atendimento;Ordem de Transferência de Crédito;Não aplicável;988536;35826316848.32
2020-03-31;1;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Acesso Restrito;30606149;37035223952.84
2020-03-31;1;Aplicativo do Banco (Mobile Banking);Consulta Saldo/Extrato;Não aplicável;6544254898;0.00
2020-03-31;1;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Banco24Horas (Terceiros);506673;710633628.39
2020-03-31;1;Aplicativo do Banco (Mobile Banking);Outras não Financeiras;Não aplicável;1662346972;0.00
2020-03-31;1;Correspondentes no País;Ordem de Transferência de Crédito;Não aplicável;444344;1810929081.83
2020-03-31;1;Aplicativo do Banco (Mobile Banking);Ordem de Transferência de Crédito;Não aplicável;293957351;529493061572.50
2020-03-31;1;Site do Banco (Internet Banking);Consulta Saldo/Extrato;Não aplicável;1608923286;0.00
2020-03-31;1;Aplicativo do Banco (Mobile Banking);Boletos e Convênios;Não aplicável;516144438;229253856862.92
2020-06-30;2;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Acesso Restrito;87187706;40532616299.22
2020-06-30;2;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Banco24Horas (Terceiros);1235995;873162558.72
2020-06-30;2;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Acesso Restrito;133402662;0.00
2020-06-30;2;Aplicativo do Banco (Mobile Banking);Ordem de Transferência de Crédito;Não aplicável;372394328;600822722662.93
2020-06-30;2;Agências;Outras não Financeiras;Não aplicável;60546118;0.01
2020-06-30;2;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Banco24Horas (Terceiros);157865531;0.00
2020-06-30;2;Agências;Saque;Não aplicável;33224648;211280433141.61
2020-06-30;2;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Acesso Restrito;261866963;0.00
2020-06-30;2;Centrais de Atendimento;Outras não Financeiras;Não aplicável;46360151;0.00
2020-06-30;2;Posto de Atendimento Cooperativo;Saque;Não aplicável;9848971;7296382817.40
2020-06-30;2;Correspondentes no País;Outras não Financeiras;Não aplicável;2057854;0.00
2020-06-30;2;Correspondentes no País;Saque;Não aplicável;137674883;90569680763.60
2020-06-30;2;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Acesso Restrito;1583181;20483709164.98
2020-06-30;2;Caixa Eletrônico;Depósito;Caixa Eletrônico / Cartão Próprio;48337211;56530039890.71
2020-06-30;2;Agências;Consulta Saldo/Extrato;Não aplicável;98715348;0.00
2020-06-30;2;Agências;Empréstimos e Financiamentos;Não aplicável;175593844;298372850502.51
2020-06-30;2;Aplicativo do Banco (Mobile Banking);Outras não Financeiras;Não aplicável;1519528230;0.00
2020-06-30;2;Site do Banco (Internet Banking);Consulta Saldo/Extrato;Não aplicável;1606953985;0.00
2020-06-30;2;Agências;Depósito;Não aplicável;78323241;2107210583188.70
2020-06-30;2;Centrais de Atendimento;Outras Financeiras;Não aplicável;521047;157983632562.09
2020-06-30;2;Site do Banco (Internet Banking);Outras Financeiras;Não aplicável;426132681;1234413029966.95
2020-06-30;2;Correspondentes no País;Boletos e Convênios;Não aplicável;556371538;119412495042.78
2020-06-30;2;Caixa Eletrônico;Depósito;Caixa Eletrônico / Banco24Horas (Terceiros);3101520;3106010682.00
2020-06-30;2;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Acesso Restrito;11044818;3135006938.94
2020-06-30;2;Correspondentes no País;Outras Financeiras;Não aplicável;919;905725145.34
2020-06-30;2;Site do Banco (Internet Banking);Empréstimos e Financiamentos;Não aplicável;40824229;45804710346.83
2020-06-30;2;Posto de Atendimento Cooperativo;Boletos e Convênios;Não aplicável;46683430;36866176034.91
2020-06-30;2;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Banco24Horas (Terceiros);528283;856561930.13
2020-06-30;2;Site do Banco (Internet Banking);Boletos e Convênios;Não aplicável;378815975;723450892938.77
2020-06-30;2;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Cartão Próprio;28633726;12681085784.72
2020-06-30;2;Site do Banco (Internet Banking);Ordem de Transferência de Crédito;Não aplicável;256871895;3450263979162.27
2020-06-30;2;Aplicativo do Banco (Mobile Banking);Consulta Saldo/Extrato;Não aplicável;8494305713;0.00
2020-06-30;2;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Cartão Próprio;6378809;0.00
2020-06-30;2;Centrais de Atendimento;Empréstimos e Financiamentos;Não aplicável;806268;16764403189.51
2020-06-30;2;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Banco24Horas (Terceiros);19865;23719807.56
2020-06-30;2;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Banco24Horas (Terceiros);3669222;2988542502.56
2020-06-30;2;Caixa Eletrônico;Saque;Caixa Eletrônico / Banco24Horas (Terceiros);330812404;104674911220.51
2020-06-30;2;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Banco24Horas (Terceiros);180050;0.00
2020-06-30;2;Posto de Atendimento Cooperativo;Ordem de Transferência de Crédito;Não aplicável;7041265;56486912214.39
2020-06-30;2;Agências;Outras Financeiras;Não aplicável;121493658;2823235365989.35
2020-06-30;2;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Cartão Próprio;7073556;7931649813.99
2020-06-30;2;Centrais de Atendimento;Consulta Saldo/Extrato;Não aplicável;176198394;0.00
2020-06-30;2;Aplicativo do Banco (Mobile Banking);Boletos e Convênios;Não aplicável;607832974;239314739616.35
2020-06-30;2;Correspondentes no País;Depósito;Não aplicável;108714854;49390630502.02
2020-06-30;2;Caixa Eletrônico;Saque;Caixa Eletrônico / Acesso Restrito;309673405;194040725061.93
2020-06-30;2;Agências;Ordem de Transferência de Crédito;Não aplicável;76683663;2122498198643.67
2020-06-30;2;Posto de Atendimento Cooperativo;Depósito;Não aplicável;4955787;9701614111.26
2020-06-30;2;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Acesso Restrito;28681171;41284360586.58
2020-06-30;2;Aplicativo do Banco (Mobile Banking);Empréstimos e Financiamentos;Não aplicável;195179915;27659216907.57
2020-06-30;2;Site do Banco (Internet Banking);Outras não Financeiras;Não aplicável;1682864318;0.00
2020-06-30;2;Correspondentes no País;Consulta Saldo/Extrato;Não aplicável;73280853;0.00
2020-06-30;2;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Cartão Próprio;1329434;27190039085.95
2020-06-30;2;Caixa Eletrônico;Saque;Caixa Eletrônico / Cartão Próprio;111852061;56066712950.64
2020-06-30;2;Centrais de Atendimento;Ordem de Transferência de Crédito;Não aplicável;677466;16774661755.52
2020-06-30;2;Centrais de Atendimento;Boletos e Convênios;Não aplicável;583671;541156477.70
2020-06-30;2;Aplicativo do Banco (Mobile Banking);Outras Financeiras;Não aplicável;30094485;93661385644.65
2020-06-30;2;Correspondentes no País;Empréstimos e Financiamentos;Não aplicável;12359935;38943700267.42
2020-06-30;2;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Cartão Próprio;793515;1310337861.55
2020-06-30;2;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Cartão Próprio;291494210;0.00
2020-06-30;2;Caixa Eletrônico;Depósito;Caixa Eletrônico / Acesso Restrito;154142896;154298904220.53
2020-06-30;2;Agências;Boletos e Convênios;Não aplicável;61723005;128677381763.65
2020-06-30;2;Posto de Atendimento Cooperativo;Outras Financeiras;Não aplicável;56000;1136142910.55
2020-06-30;2;Correspondentes no País;Ordem de Transferência de Crédito;Não aplicável;434069;973825283.71
2020-09-30;3;Site do Banco (Internet Banking);Boletos e Convênios;Não aplicável;415865918;902217806024.22
2020-09-30;3;Correspondentes no País;Outras Financeiras;Não aplicável;574;355989633.98
2020-09-30;3;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Acesso Restrito;1596007;19738472254.15
2020-09-30;3;Correspondentes no País;Boletos e Convênios;Não aplicável;573649252;129564978802.77
2020-09-30;3;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Banco24Horas (Terceiros);137933128;0.00
2020-09-30;3;Site do Banco (Internet Banking);Outras Financeiras;Não aplicável;462752916;1363636651263.54
2020-09-30;3;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Banco24Horas (Terceiros);1104900;888112102.47
2020-09-30;3;Caixa Eletrônico;Depósito;Caixa Eletrônico / Banco24Horas (Terceiros);3351645;3505164624.00
2020-09-30;3;Caixa Eletrônico;Depósito;Caixa Eletrônico / Acesso Restrito;173987505;179642650984.22
2020-09-30;3;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Cartão Próprio;285285646;0.00
2020-09-30;3;Correspondentes no País;Consulta Saldo/Extrato;Não aplicável;70246501;0.00
2020-09-30;3;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Acesso Restrito;78903230;39261927622.06
2020-09-30;3;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Acesso Restrito;129291625;0.00
2020-09-30;3;Centrais de Atendimento;Boletos e Convênios;Não aplicável;458056;550108669.84
2020-09-30;3;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Banco24Horas (Terceiros);20449;24957383.14
2020-09-30;3;Agências;Outras não Financeiras;Não aplicável;64588934;0.00
2020-09-30;3;Caixa Eletrônico;Depósito;Caixa Eletrônico / Cartão Próprio;52101143;62740369886.67
2020-09-30;3;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Banco24Horas (Terceiros);276526;642241469.82
2020-09-30;3;Posto de Atendimento Cooperativo;Ordem de Transferência de Crédito;Não aplicável;8737950;66419386850.92
2020-09-30;3;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Banco24Horas (Terceiros);364695;0.00
2020-09-30;3;Aplicativo do Banco (Mobile Banking);Boletos e Convênios;Não aplicável;648671655;289462834912.55
2020-09-30;3;Agências;Empréstimos e Financiamentos;Não aplicável;179699573;374040208193.62
2020-09-30;3;Centrais de Atendimento;Outras Financeiras;Não aplicável;431569;115786495025.54
2020-09-30;3;Caixa Eletrônico;Saque;Caixa Eletrônico / Acesso Restrito;336568731;202252957857.30
2020-09-30;3;Correspondentes no País;Ordem de Transferência de Crédito;Não aplicável;444624;1483830053.84
2020-09-30;3;Posto de Atendimento Cooperativo;Saque;Não aplicável;12288318;8828402057.50
2020-09-30;3;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Cartão Próprio;6360623;0.00
2020-09-30;3;Correspondentes no País;Saque;Não aplicável;155025187;94311034923.71
2020-09-30;3;Agências;Boletos e Convênios;Não aplicável;84866389;163664321782.43
2020-09-30;3;Site do Banco (Internet Banking);Empréstimos e Financiamentos;Não aplicável;38148638;61376062352.43
2020-09-30;3;Posto de Atendimento Cooperativo;Outras Financeiras;Não aplicável;87217;1485491295.70
2020-09-30;3;Site do Banco (Internet Banking);Pix;Não aplicável;205169;736602838.36
2020-09-30;3;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Cartão Próprio;6834340;8167542260.26
2020-09-30;3;Posto de Atendimento Cooperativo;Boletos e Convênios;Não aplicável;52332424;43843512394.65
2020-09-30;3;Site do Banco (Internet Banking);Outras não Financeiras;Não aplicável;1821998542;0.00
2020-09-30;3;Agências;Saque;Não aplicável;37233139;232711048658.25
2020-09-30;3;Correspondentes no País;Depósito;Não aplicável;124137224;60026231674.16
2020-09-30;3;Centrais de Atendimento;Consulta Saldo/Extrato;Não aplicável;85031697;0.00
2020-09-30;3;Caixa Eletrônico;Saque;Caixa Eletrônico / Cartão Próprio;119092269;57242488506.33
2020-09-30;3;Aplicativo do Banco (Mobile Banking);Empréstimos e Financiamentos;Não aplicável;197262320;27810524946.31
2020-09-30;3;Aplicativo do Banco (Mobile Banking);Ordem de Transferência de Crédito;Não aplicável;415366751;782136298920.00
2020-09-30;3;Centrais de Atendimento;Empréstimos e Financiamentos;Não aplicável;674610;6059598197.83
2020-09-30;3;Agências;Ordem de Transferência de Crédito;Não aplicável;88556170;2525096831202.19
2020-09-30;3;Centrais de Atendimento;Outras não Financeiras;Não aplicável;43734411;0.00
2020-09-30;3;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Banco24Horas (Terceiros);2675829;4325025369.66
2020-09-30;3;Aplicativo do Banco (Mobile Banking);Outras Financeiras;Não aplicável;35703917;119112577076.35
2020-09-30;3;Correspondentes no País;Empréstimos e Financiamentos;Não aplicável;13115451;50640897350.85
2020-09-30;3;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Cartão Próprio;737849;1404554304.20
2020-09-30;3;Aplicativo do Banco (Mobile Banking);Outras não Financeiras;Não aplicável;1959408107;0.00
2020-09-30;3;Caixa Eletrônico;Saque;Caixa Eletrônico / Banco24Horas (Terceiros);347565000;127750043277.97
2020-09-30;3;Correspondentes no País;Outras não Financeiras;Não aplicável;2116564;0.00
2020-09-30;3;Posto de Atendimento Cooperativo;Depósito;Não aplicável;5474638;10825139068.88
2020-09-30;3;Agências;Consulta Saldo/Extrato;Não aplicável;133264867;50.00
2020-09-30;3;Agências;Outras Financeiras;Não aplicável;140962381;2938092862972.66
2020-09-30;3;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Cartão Próprio;1204876;28762445484.93
2020-09-30;3;Site do Banco (Internet Banking);Ordem de Transferência de Crédito;Não aplicável;303142159;4027777158747.26
2020-09-30;3;Centrais de Atendimento;Ordem de Transferência de Crédito;Não aplicável;607218;17808935078.26
2020-09-30;3;Aplicativo do Banco (Mobile Banking);Consulta Saldo/Extrato;Não aplicável;8641711134;0.00
2020-09-30;3;Agências;Depósito;Não aplicável;61659416;2149310999589.84
2020-09-30;3;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Acesso Restrito;29233497;46970771628.87
2020-09-30;3;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Cartão Próprio;25304474;11674797215.49
2020-09-30;3;Site do Banco (Internet Banking);Consulta Saldo/Extrato;Não aplicável;1863808148;0.00
2020-09-30;3;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Acesso Restrito;10534985;3289896367.13
2020-09-30;3;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Acesso Restrito;325905575;0.00
2020-12-31;4;Correspondentes no País;Empréstimos e Financiamentos;Não aplicável;13203892;47859027916.57
2020-12-31;4;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Acesso Restrito;135339535;0.00
2020-12-31;4;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Banco24Horas (Terceiros);140897251;0.00
2020-12-31;4;Caixa Eletrônico;Saque;Caixa Eletrônico / Cartão Próprio;131468880;65028029665.89
2020-12-31;4;Agências;Outras não Financeiras;Não aplicável;65093637;0.00
2020-12-31;4;Aplicativo do Banco (Mobile Banking);Outras não Financeiras;Não aplicável;2383039796;0.00
2020-12-31;4;Aplicativo do Banco (Mobile Banking);Ordem de Transferência de Crédito;Não aplicável;374336925;782195539085.41
2020-12-31;4;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Acesso Restrito;1516724;20294598143.72
2020-12-31;4;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Cartão Próprio;1210218;30062004549.24
2020-12-31;4;Centrais de Atendimento;Boletos e Convênios;Não aplicável;459773;621095954.26
2020-12-31;4;Site do Banco (Internet Banking);Boletos e Convênios;Não aplicável;407713741;1018357843041.32
2020-12-31;4;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Acesso Restrito;10618143;3678819679.63
2020-12-31;4;Posto de Atendimento Cooperativo;Ordem de Transferência de Crédito;Não aplicável;9931693;72933774315.52
2020-12-31;4;Agências;Ordem de Transferência de Crédito;Não aplicável;92363506;2736546808893.17
2020-12-31;4;Site do Banco (Internet Banking);Empréstimos e Financiamentos;Não aplicável;36683104;64916056491.87
2020-12-31;4;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Acesso Restrito;295372391;0.00
2020-12-31;4;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Cartão Próprio;809004;1479040170.80
2020-12-31;4;Correspondentes no País;Boletos e Convênios;Não aplicável;581266475;137800944401.17
2020-12-31;4;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Acesso Restrito;73021193;38930469776.30
2020-12-31;4;Agências;Depósito;Não aplicável;61119543;2517839187029.96
2020-12-31;4;Centrais de Atendimento;Outras não Financeiras;Não aplicável;43082309;0.00
2020-12-31;4;Aplicativo do Banco (Mobile Banking);Outras Financeiras;Não aplicável;43035515;155520101720.65
2020-12-31;4;Aplicativo do Banco (Mobile Banking);Boletos e Convênios;Não aplicável;672369531;311491500820.99
2020-12-31;4;Agências;Empréstimos e Financiamentos;Não aplicável;184986667;389287391318.57
2020-12-31;4;Posto de Atendimento Cooperativo;Outras Financeiras;Não aplicável;82000;1414335237.89
2020-12-31;4;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Banco24Horas (Terceiros);316331;0.00
2020-12-31;4;Centrais de Atendimento;Ordem de Transferência de Crédito;Não aplicável;647071;23552172540.48
2020-12-31;4;Agências;Pix;Não aplicável;245;53593.27
2020-12-31;4;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Banco24Horas (Terceiros);295727;1013706177.89
2020-12-31;4;Aplicativo do Banco (Mobile Banking);Consulta Saldo/Extrato;Não aplicável;9361556028;0.00
2020-12-31;4;Site do Banco (Internet Banking);Outras não Financeiras;Não aplicável;1852044725;0.00
2020-12-31;4;Site do Banco (Internet Banking);Outras Financeiras;Não aplicável;497179095;1417244344788.40
2020-12-31;4;Site do Banco (Internet Banking);Consulta Saldo/Extrato;Não aplicável;1886408722;10.74
2020-12-31;4;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Cartão Próprio;6556543;0.00
2020-12-31;4;Caixa Eletrônico;Depósito;Caixa Eletrônico / Cartão Próprio;50846445;62702057076.31
2020-12-31;4;Caixa Eletrônico;Saque;Caixa Eletrônico / Acesso Restrito;355156647;209175460148.02
2020-12-31;4;Centrais de Atendimento;Consulta Saldo/Extrato;Não aplicável;84685365;0.00
2020-12-31;4;Posto de Atendimento Cooperativo;Depósito;Não aplicável;5852053;11285049224.00
2020-12-31;4;Agências;Consulta Saldo/Extrato;Não aplicável;129468600;0.00
2020-12-31;4;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Acesso Restrito;28752397;46260718693.71
2020-12-31;4;Correspondentes no País;Depósito;Não aplicável;127944077;61287211376.69
2020-12-31;4;Centrais de Atendimento;Outras Financeiras;Não aplicável;475509;119547727962.47
2020-12-31;4;Agências;Outras Financeiras;Não aplicável;149631644;3348089641719.33
2020-12-31;4;Site do Banco (Internet Banking);Ordem de Transferência de Crédito;Não aplicável;246893767;4472362774367.51
2020-12-31;4;Correspondentes no País;Saque;Não aplicável;159272501;87197899866.05
2020-12-31;4;Caixa Eletrônico;Depósito;Caixa Eletrônico / Acesso Restrito;182303931;184004991504.11
2020-12-31;4;Caixa Eletrônico;Saque;Caixa Eletrônico / Banco24Horas (Terceiros);381524837;139603423093.18
2020-12-31;4;Posto de Atendimento Cooperativo;Boletos e Convênios;Não aplicável;56243529;50736969391.89
2020-12-31;4;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Banco24Horas (Terceiros);1043011;822714666.70
2020-12-31;4;Correspondentes no País;Outras não Financeiras;Não aplicável;2321109;0.00
2020-12-31;4;Centrais de Atendimento;Empréstimos e Financiamentos;Não aplicável;627334;6796549948.64
2020-12-31;4;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Banco24Horas (Terceiros);2491277;26896250165.91
2020-12-31;4;Aplicativo do Banco (Mobile Banking);Empréstimos e Financiamentos;Não aplicável;198545406;25801525263.62
2020-12-31;4;Agências;Boletos e Convênios;Não aplicável;85152149;162069373732.71
2020-12-31;4;Correspondentes no País;Ordem de Transferência de Crédito;Não aplicável;531351;2018626139.83
2020-12-31;4;Caixa Eletrônico;Outras Financeiras;Caixa Eletrônico / Banco24Horas (Terceiros);22882;25876834.36
2020-12-31;4;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Cartão Próprio;293914174;0.00
2020-12-31;4;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Cartão Próprio;23857067;11755846651.51
2020-12-31;4;Caixa Eletrônico;Depósito;Caixa Eletrônico / Banco24Horas (Terceiros);3564553;3807292085.00
2020-12-31;4;Posto de Atendimento Cooperativo;Saque;Não aplicável;14243665;9961679450.27
2020-12-31;4;Aplicativo do Banco (Mobile Banking);Pix;Não aplicável;112945275;74954291969.79
2020-12-31;4;Correspondentes no País;Outras Financeiras;Não aplicável;497;962367389.62
2020-12-31;4;Site do Banco (Internet Banking);Pix;Não aplicável;7105856;43095271496.31
2020-12-31;4;Caixa Eletrônico;Ordem de Transferência de Crédito;Caixa Eletrônico / Cartão Próprio;6752994;8273475772.90
2020-12-31;4;Agências;Saque;Não aplicável;40904599;254854670111.80
2020-12-31;4;Correspondentes no País;Consulta Saldo/Extrato;Não aplicável;71611598;0.00
2021-03-31;1;Aplicativo do Banco (Mobile Banking);Ordem de Transferência de Crédito;Não aplicável;292213427;635515584816.03
2021-03-31;1;Posto de Atendimento Cooperativo;Outras Financeiras;Não aplicável;88384;1495878359.52
2021-03-31;1;Aplicativo do Banco (Mobile Banking);Consulta Saldo/Extrato;Não aplicável;9730960082;0.00
