data_trimestre;trimestre;estado;qtd_terminais_pos;qtd_terminais_pos_compartilhados;qtd_terminais_pos_com_chip;qtd_terminais_pdv
2020-12-31;4;CE;393901;251568;364882;14784
2020-12-31;4;BA;642435;408683;622481;30330
2020-12-31;4;SC;463082;305455;449524;33056
2020-12-31;4;MT;219778;129131;214655;13055
2020-12-31;4;MS;155379;94946;151724;8591
2020-12-31;4;TO;64066;36769;62369;2225
2020-12-31;4;RR;21974;14635;21473;955
2020-12-31;4;RJ;1377261;963728;1338011;40301
2021-03-31;1;MA;165528;102793;158454;6996
2021-03-31;1;AM;143155;94655;137695;4637
2021-03-31;1;ES;201206;110130;195735;12272
2021-03-31;1;MT;224598;128918;218228;13266
2021-03-31;1;PB;142193;84648;135093;26566
2021-03-31;1;PI;94316;56486;90205;4697
2021-03-31;1;BA;664493;417752;641839;28957
2021-03-31;1;AP;27576;17972;26438;826
2021-03-31;1;PE;423043;282150;401899;33577
2021-03-31;1;MG;1182375;742643;1143013;41066
2021-03-31;1;RS;840814;670927;817523;75987
2021-03-31;1;MS;158501;93370;153958;8519
2021-03-31;1;PR;743635;459682;719125;39807
2021-03-31;1;DF;270726;167408;262254;10232
2021-03-31;1;RO;72087;40434;69786;2810
2021-03-31;1;PA;232054;142331;221248;11093
2021-03-31;1;SE;96867;44841;92992;3908
2021-03-31;1;AC;27340;16611;26474;1044
2021-03-31;1;AL;131576;83072;126299;6666
2021-03-31;1;TO;66576;37204;64293;2258
2021-03-31;1;SC;466450;301016;451492;33976
2021-03-31;1;RJ;1373836;957009;1325885;39901
2021-03-31;1;SP;4328893;2879540;4193218;182926
2021-03-31;1;CE;406316;255283;374640;14408
2021-03-31;1;RR;22025;14478;21159;959
2021-03-31;1;RN;153284;96890;140870;13242
2021-03-31;1;GO;459192;284713;443982;21908
2021-06-30;2;RJ;1390899;981712;1358900;38363
2021-06-30;2;MS;161751;96218;158501;8422
2021-06-30;2;GO;475938;294987;464885;21370
2021-06-30;2;AC;28331;17136;27703;1068
2021-06-30;2;CE;428359;268647;400993;14291
2021-06-30;2;DF;274312;171174;268138;9966
2021-06-30;2;RR;22942;15582;22421;939
2021-06-30;2;TO;68503;38196;66828;2248
2021-06-30;2;BA;698192;433800;681843;28308
2021-06-30;2;RS;862998;690916;845752;76640
2021-06-30;2;PI;99148;59911;96546;4654
2021-06-30;2;PA;244361;150572;236308;11003
2021-06-30;2;AM;151814;102205;147751;4502
2021-06-30;2;SP;4401415;2934438;4298087;179226
2021-06-30;2;AL;139899;88282;136681;6547
2021-06-30;2;PR;763054;471016;746100;39464
2021-06-30;2;SC;471783;303442;460641;33791
2021-06-30;2;PE;445860;296054;429567;33240
2021-06-30;2;RO;73854;42239;72801;2743
2021-06-30;2;MG;1215337;761089;1185180;40382
2021-06-30;2;RN;158400;100244;149041;12917
2021-06-30;2;ES;200704;110441;196428;11992
2021-06-30;2;MA;173895;110162;169166;6996
2021-06-30;2;SE;99868;45867;97923;3895
2021-06-30;2;MT;229080;131098;224306;13419
2021-06-30;2;PB;152494;88550;146247;26358
2021-06-30;2;AP;28566;18751;27693;816
2021-09-30;3;SC;493420;307074;482117;32735
2021-09-30;3;RO;78745;42974;77430;2534
2021-09-30;3;PR;790149;478055;772812;38380
2021-09-30;3;AC;29766;17457;29050;1023
2021-09-30;3;RJ;1435916;1004478;1403567;34903
2021-09-30;3;MS;172299;98912;168791;7872
2021-09-30;3;GO;500027;301751;489363;18162
2021-09-30;3;PE;474964;305977;456203;31120
2021-09-30;3;RS;869309;683634;851484;75507
2021-09-30;3;MT;239702;133899;235275;13478
2021-09-30;3;CE;457382;279058;429738;13710
2021-09-30;3;AP;29792;19336;28784;771
2021-09-30;3;SE;109868;49681;107011;3655
2021-09-30;3;DF;285445;175258;279016;9171
2021-09-30;3;AM;157298;104291;152841;4123
2021-09-30;3;MG;1281958;781804;1249387;38468
2021-09-30;3;PI;106601;62507;103877;4355
2021-09-30;3;BA;748966;449245;730966;26592
2021-09-30;3;PB;168221;93444;161053;25397
2021-09-30;3;RN;167802;104011;157824;11909
2021-09-30;3;PA;257521;155338;249531;10145
2021-09-30;3;TO;71474;39141;70063;2251
2021-09-30;3;AL;151572;92699;147627;6210
2021-09-30;3;MA;187215;116763;182175;6533
2021-09-30;3;SP;4541563;2995016;4436609;170535
2021-09-30;3;ES;212444;113367;207970;11627
2021-09-30;3;RR;24324;16302;23657;915
2021-12-31;4;RO;84249;43655;82229;2494
2021-12-31;4;PA;279218;160856;267517;10208
2021-12-31;4;MG;1353189;792312;1314158;38844
2021-12-31;4;AC;31467;17654;30342;1079
2021-12-31;4;MS;182028;100791;177127;8041
2021-12-31;4;DF;298168;177056;289368;9140
2021-12-31;4;MA;203299;121355;195446;6578
2021-12-31;4;PI;115165;64790;111320;4342
2021-12-31;4;RR;25998;16920;24892;926
2021-12-31;4;RS;914852;706235;890012;78217
2021-12-31;4;CE;486864;282122;454746;13928
2021-12-31;4;MT;251379;135083;245320;13881
2021-12-31;4;AL;167826;96631;160020;6329
2021-12-31;4;RJ;1496659;1019293;1451574;35278
2021-12-31;4;RN;180677;107665;168682;11930
2021-12-31;4;AM;167689;107189;160317;4183
2021-12-31;4;ES;226282;116653;219997;11703
2021-12-31;4;PR;826936;483892;806499;38722
2021-12-31;4;AP;31275;19889;29981;777
2021-12-31;4;GO;533461;308105;517879;18203
2021-12-31;4;PB;187207;96130;176170;25537
2021-12-31;4;BA;816537;463763;787466;26800
2021-12-31;4;PE;501786;309168;479271;30973
2021-12-31;4;TO;76255;40233;74159;2275
2021-12-31;4;SE;121082;52077;115538;3863
2021-12-31;4;SP;4688182;3016057;4559487;121125
2021-12-31;4;SC;528212;318841;510842;32995
2022-03-31;1;AM;173191;107608;167404;4106
2022-03-31;1;PB;199788;95841;190875;25461
2022-03-31;1;PR;886523;476942;848525;38234
2022-03-31;1;SE;120738;52277;116325;3727
2022-03-31;1;PE;518576;306589;499335;30262
2022-03-31;1;RS;907622;679246;889767;76388
2022-03-31;1;DF;308140;174789;300676;9002
2022-03-31;1;AL;172350;94687;166261;6289
2022-03-31;1;RO;89960;43828;88265;2460
2022-03-31;1;PA;297231;163633;287171;9866
2022-03-31;1;MG;1413705;780599;1380364;37968
2022-03-31;1;SP;4784603;2955647;4683165;117742
2022-03-31;1;TO;81569;40899;79226;2283
2022-03-31;1;GO;571683;310609;558207;17843
2022-03-31;1;RR;26522;16834;25622;893
2022-03-31;1;RN;186143;106806;175546;11706
2022-03-31;1;RJ;1512156;989632;1477414;34126
2022-03-31;1;MA;216717;123756;209959;6346
2022-03-31;1;AP;32156;19991;31117;745
2022-03-31;1;SC;552880;315577;539367;32281
2022-03-31;1;CE;521103;279786;492722;13443
2022-03-31;1;MS;189336;99879;185177;7825
2022-03-31;1;BA;855861;462551;832065;25853
2022-03-31;1;PI;123679;66478;120225;4175
2022-03-31;1;AC;33882;17770;32945;1067
2022-03-31;1;MT;263053;134858;257760;13987
2022-03-31;1;ES;240772;114984;236163;9055
2022-06-30;2;MA;222042;126454;218441;6326
2022-06-30;2;PI;124675;67199;122886;4146
2022-06-30;2;RO;91635;43713;90323;2477
2022-06-30;2;RR;27231;17419;26628;915
2022-06-30;2;AM;173101;108262;170228;4114
2022-06-30;2;BA;861381;458513;848602;25278
2022-06-30;2;MT;266647;135606;263021;14375
2022-06-30;2;GO;569797;308640;561647;17504
2022-06-30;2;DF;315157;175693;310130;8907
2022-06-30;2;PB;200634;95785;195369;25049
2022-06-30;2;SP;4782840;2950158;4709123;117583
2022-06-30;2;AL;171133;92660;167879;6180
2022-06-30;2;MS;191619;99712;188821;7892
2022-06-30;2;PE;517783;306915;504704;29329
2022-06-30;2;MG;1426732;779128;1402491;38243
2022-06-30;2;TO;82935;41324;81842;2331
2022-06-30;2;SE;128142;52303;126346;3614
2022-06-30;2;ES;235799;114411;232755;8898
2022-06-30;2;CE;510435;279898;487324;13337
2022-06-30;2;SC;551239;314215;541893;32336
2022-06-30;2;PR;887674;476647;855348;38524
2022-06-30;2;AP;32038;20035;31472;769
2022-06-30;2;RS;905165;680327;893043;76897
2022-06-30;2;AC;33856;17875;33337;1082
2022-06-30;2;RJ;1488844;974335;1467312;33811
2022-06-30;2;RN;183401;105409;175180;11342
2022-06-30;2;PA;302001;165451;296438;9908
2022-09-30;3;PI;185791;124999;184185;4327
2022-09-30;3;RO;161100;109360;159564;2773
2022-09-30;3;PA;459652;315129;453972;10678
2022-09-30;3;RS;978077;732918;963252;103571
2022-09-30;3;GO;695088;418340;687132;18547
2022-09-30;3;PB;314618;202648;309182;25541
2022-09-30;3;RN;321043;239975;312705;11530
2022-09-30;3;MG;1844467;1155471;1820385;41142
2022-09-30;3;RR;37034;26634;36433;1033
2022-09-30;3;AL;290712;207088;286642;6583
2022-09-30;3;SE;177720;97918;176254;3830
2022-09-30;3;AP;47675;34923;47058;799
2022-09-30;3;ES;331433;201556;327997;9492
2022-09-30;3;BA;1231148;807433;1219108;26608
2022-09-30;3;RJ;1766673;1232528;1744540;36927
2022-09-30;3;PE;742801;521193;729095;30315
2022-09-30;3;DF;363966;224785;359082;9274
2022-09-30;3;SC;680666;423941;670994;40751
2022-09-30;3;MT;332830;193811;328819;15170
2022-09-30;3;AC;50075;32813;49561;1182
2022-09-30;3;TO;116802;72069;115741;2522
2022-09-30;3;PR;1047417;621253;1024851;80797
2022-09-30;3;AM;235039;167707;232327;4392
2022-09-30;3;MA;353270;251719;350109;6826
2022-09-30;3;CE;843865;602347;820911;14139
2022-09-30;3;MS;244614;146437;241738;8507
2022-09-30;3;SP;5506052;3616761;5437767;128311
2022-12-31;4;ES;344994;203252;338771;9858
2022-12-31;4;AM;247815;168704;243201;4535
2022-12-31;4;PA;486046;317438;476145;11673
2022-12-31;4;SC;718775;427510;702792;37526
2022-12-31;4;PB;334245;203849;325919;27057
2022-12-31;4;PE;771613;519406;752372;31880
2022-12-31;4;RN;335706;243402;325294;12205
2022-12-31;4;AL;303672;209382;298833;6850
2022-12-31;4;BA;1307294;815333;1284008;27966
2022-12-31;4;AP;49871;35632;48963;853
2022-12-31;4;PR;1102314;622139;1071127;49817
2022-12-31;4;DF;382525;220515;374828;10363
2022-12-31;4;PI;196334;126027;192977;4794
2022-12-31;4;MG;2015453;1157700;1975273;45872
2022-12-31;4;CE;885171;609243;856497;15135
2022-12-31;4;SE;189391;99241;186434;4113
2022-12-31;4;RR;39135;27303;38350;1085
2022-12-31;4;RJ;1829719;1231239;1794793;37341
2022-12-31;4;TO;125067;73564;123046;2778
2022-12-31;4;MS;259483;148393;254155;9069
2022-12-31;4;AC;53115;33677;52163;1304
2022-12-31;4;SP;5720082;3614503;5611533;135937
2022-12-31;4;RS;1003017;723622;982967;96286
2022-12-31;4;MT;353652;196282;347095;15956
2022-12-31;4;MA;371388;255232;365645;7300
2022-12-31;4;GO;748965;422020;733715;22091
2022-12-31;4;RO;173663;113974;171153;2794
2023-03-31;1;TO;131743;74487;128672;2872
2023-03-31;1;PI;201665;126339;197019;4856
2023-03-31;1;RR;40195;27300;38954;1150
2023-03-31;1;DF;397885;220587;386719;10510
2023-03-31;1;PA;506379;320958;491365;12008
2023-03-31;1;AL;312615;209855;305387;6926
2023-03-31;1;SC;735031;425619;713547;43661
2023-03-31;1;PB;345217;203647;334456;27036
2023-03-31;1;PE;787601;512644;763636;31834
2023-03-31;1;CE;905529;609846;871707;15544
2023-03-31;1;PR;1126012;621288;1083531;86354
2023-03-31;1;AC;55083;33520;53588;1388
2023-03-31;1;RN;346840;245268;334239;12214
2023-03-31;1;MT;366330;194583;356192;16602
2023-03-31;1;BA;1339811;811920;1307138;28505
2023-03-31;1;GO;778180;417444;756035;22694
2023-03-31;1;SE;195793;98537;191600;4222
2023-03-31;1;MG;2075724;1157574;2019544;45994
2023-03-31;1;SP;5795297;3541052;5641753;143923
2023-03-31;1;ES;365937;207215;356328;10138
2023-03-31;1;MA;383602;255827;375237;7642
2023-03-31;1;MS;266382;148594;259028;9578
2023-03-31;1;AP;51318;35427;49790;867
2023-03-31;1;RO;180991;117038;176828;2917
2023-03-31;1;RJ;1829847;1196599;1777728;39276
2023-03-31;1;AM;253843;166806;246367;4961
2023-03-31;1;RS;1012002;717549;985993;118911
2023-06-30;2;BA;1400025;863937;1344923;27886
2023-06-30;2;SC;751102;436697;718456;36666
2023-06-30;2;MG;2082549;1223114;1994647;44752
2023-06-30;2;PE;821483;539944;783895;31149
2023-06-30;2;AP;55348;37822;52051;862
2023-06-30;2;RO;194189;129223;186645;2840
2023-06-30;2;RN;365915;261530;347434;11857
2023-06-30;2;CE;950812;649100;903412;15046
2023-06-30;2;AM;267310;178529;252365;4683
2023-06-30;2;RJ;1881666;1233081;1792189;36080
2023-06-30;2;SP;5894123;3685688;5656714;133174
2023-06-30;2;PR;1164601;644508;1106235;44529
2023-06-30;2;MS;277240;156202;264459;9298
2023-06-30;2;SE;206338;104667;198858;4189
2023-06-30;2;MT;381951;204667;364677;17022
2023-06-30;2;ES;378945;222164;363028;9959
2023-06-30;2;AL;332498;225033;320629;6802
2023-06-30;2;DF;409344;233398;390927;10266
2023-06-30;2;PB;361431;217119;344580;26883
2023-06-30;2;TO;138897;81072;133930;2929
2023-06-30;2;RS;1036410;732914;997453;95485
2023-06-30;2;PI;211737;134771;203630;4806
2023-06-30;2;MA;406848;272172;391212;7406
2023-06-30;2;GO;801823;441070;763458;22613
2023-06-30;2;AC;58182;35717;55174;1406
2023-06-30;2;PA;537650;345413;509671;11674
2023-06-30;2;RR;43164;29057;40582;1152
2023-09-30;3;ES;401973;229474;373584;9784
2023-09-30;3;PE;863654;556648;802212;29266
2023-09-30;3;SE;218346;108889;204679;4191
2023-09-30;3;RJ;1958984;1253315;1811778;35355
2023-09-30;3;MA;431922;281306;403898;7174
2023-09-30;3;AM;286686;184982;259092;4413
2023-09-30;3;PR;1220144;660816;1128122;44203
2023-09-30;3;GO;850339;452615;782492;22129
2023-09-30;3;MT;406701;210946;376032;17916
2023-09-30;3;MG;2195236;1256408;2049222;43489
2023-09-30;3;AP;59425;39011;53548;853
2023-09-30;3;MS;294557;161522;272255;9217
2023-09-30;3;CE;999066;673206;926764;14742
2023-09-30;3;RO;208113;136733;194497;2806
2023-09-30;3;DF;431268;236849;400169;9689
2023-09-30;3;SP;6113489;3779015;5736846;127668
2023-09-30;3;AC;62571;37031;56846;1448
2023-09-30;3;SC;795561;449396;736969;36629
2023-09-30;3;PI;224335;139515;209679;4706
2023-09-30;3;RS;1077354;746643;1016906;99484
2023-09-30;3;PA;575119;358228;526066;11481
2023-09-30;3;AL;350957;233367;329843;6249
2023-09-30;3;TO;146162;83145;137377;3023
2023-09-30;3;BA;1472503;893695;1378856;27580
2023-09-30;3;RN;390060;273923;361381;11465
2023-09-30;3;PB;382361;225148;353798;25398
2023-09-30;3;RR;46508;30255;41786;1185
2023-12-31;4;SP;6336364;3776298;5767245;133686
2023-12-31;4;PB;408281;226553;364050;25324
2023-12-31;4;RO;227954;138092;205747;3055
2023-12-31;4;PI;238790;141020;215514;4860
2023-12-31;4;DF;451846;235752;400891;9852
2023-12-31;4;RJ;2049968;1250520;1810164;35886
2023-12-31;4;PE;909531;554547;811936;29246
2023-12-31;4;RR;50483;30386;42115;1276
2023-12-31;4;AP;65544;39446;55390;893
2023-12-31;4;BA;1553322;895064;1402778;28291
2023-12-31;4;AM;309750;186133;263043;4648
2023-12-31;4;PR;1279171;662854;1143414;47313
2023-12-31;4;AC;67322;37075;57636;1547
2023-12-31;4;CE;1049084;677017;938232;14971
2023-12-31;4;ES;429878;231695;382910;10213
2023-12-31;4;SC;867760;456351;776605;39059
2023-12-31;4;AL;376249;236285;340237;6351
2023-12-31;4;RS;1138425;754768;1047730;107316
2023-12-31;4;PA;619251;363298;536250;11865
2023-12-31;4;RN;416446;277424;371575;11539
2023-12-31;4;MG;2288167;1254374;2062700;45007
2023-12-31;4;MT;428674;209754;379722;19586
2023-12-31;4;SE;229706;110218;206383;4304
2023-12-31;4;MA;458145;283440;411013;7397
2023-12-31;4;MS;329221;162543;293669;9755
2023-12-31;4;GO;918463;453977;806511;23310
2023-12-31;4;TO;158164;83875;143239;3276
2024-03-31;1;BA;1642590;910772;1419750;27864
2024-03-31;1;AL;401538;238285;348048;6596
2024-03-31;1;AP;70434;39723;54806;1013
2024-03-31;1;PA;666428;363056;540809;12595
2024-03-31;1;SE;228634;112001;194085;4179
2024-03-31;1;MG;2498582;1367385;2157547;47286
2024-03-31;1;TO;177808;85450;154851;3663
2024-03-31;1;RR;62024;30792;48639;1436
2024-03-31;1;PI;255879;141962;221077;4711
2024-03-31;1;MT;471414;221972;394829;23232
2024-03-31;1;SC;979056;502514;846083;42348
2024-03-31;1;DF;495689;235187;416086;10316
2024-03-31;1;CE;1121082;678174;961739;14965
2024-03-31;1;SP;6856880;3827453;6020396;140182
2024-03-31;1;RN;452425;283016;386766;11754
2024-03-31;1;MA;498024;288036;424838;8530
2024-03-31;1;GO;1022062;476506;849189;22728
2024-03-31;1;MS;364658;167192;309833;10523
2024-03-31;1;ES;486439;245302;414496;11281
2024-03-31;1;AM;341371;185717;270999;5557
2024-03-31;1;AC;83454;38129;68352;1673
2024-03-31;1;RO;268360;158637;235233;3526
2024-03-31;1;PE;975995;555929;832519;29730
2024-03-31;1;RS;1202917;757324;1071005;118235
2024-03-31;1;RJ;2199055;1248165;1838021;36790
2024-03-31;1;PB;450861;235418;385640;26557
2024-03-31;1;PR;1399276;725348;1202138;50602
2024-06-30;2;MT;547471;236195;428852;29836
2024-06-30;2;TO;195405;89016;159415;4498
2024-06-30;2;RN;498380;289028;397410;13045
2024-06-30;2;RS;1302858;774368;1104396;137143
2024-06-30;2;AL;440544;242885;358194;7452
2024-06-30;2;RR;73372;32271;52808;1742
2024-06-30;2;SE;253091;115400;202597;4964
2024-06-30;2;CE;1224130;691370;979854;17797
2024-06-30;2;BA;1803309;934452;1462091;32987
2024-06-30;2;DF;561013;247794;435733;12658
2024-06-30;2;GO;1181073;506547;911417;29911
2024-06-30;2;MS;420849;175062;336774;13130
2024-06-30;2;PI;285173;145745;230663;5750
2024-06-30;2;MA;550940;294421;436281;9774
2024-06-30;2;SC;1116158;531779;912268;51824
2024-06-30;2;PE;1081524;566523;856763;33821
2024-06-30;2;RJ;2446301;1273809;1881070;44291
2024-06-30;2;AC;96613;39489;73148;2003
2024-06-30;2;MG;2822358;1454955;2299364;58654
2024-06-30;2;SP;7551654;3991687;6283203;175776
2024-06-30;2;ES;547838;256614;433327;12947
2024-06-30;2;PR;1558298;770511;1261693;61124
2024-06-30;2;PB;496559;241912;396275;29101
2024-06-30;2;AM;392466;194110;284565;6673
2024-06-30;2;PA;756341;374580;560956;15088
2024-06-30;2;RO;305311;167525;254776;4345
2024-06-30;2;AP;79934;40306;55877;1180
2024-09-30;3;PA;857850;378494;590591;16067
2024-09-30;3;PE;1216218;570941;903511;33574
2024-09-30;3;SC;1262250;546430;985434;56381
2024-09-30;3;RJ;2743042;1278250;1942071;44663
2024-09-30;3;AM;448348;196042;298725;6892
2024-09-30;3;AL;498365;246465;384675;7602
2024-09-30;3;GO;1340570;511470;975737;30861
2024-09-30;3;MS;472466;177331;357853;14177
2024-09-30;3;DF;655689;247965;484229;13168
2024-09-30;3;SE;314505;116989;245107;5027
2024-09-30;3;RR;85183;32758;57205;1747
2024-09-30;3;SP;8296616;3992793;6523844;191774
2024-09-30;3;PI;320747;147170;245834;5861
2024-09-30;3;ES;627887;264598;465226;13639
2024-09-30;3;AP;93107;40910;59763;1363
2024-09-30;3;BA;2011803;944668;1539146;33485
2024-09-30;3;RN;564117;292843;427715;13145
2024-09-30;3;MG;3191548;1470411;2473381;62154
2024-09-30;3;MA;624627;296983;467375;10047
2024-09-30;3;AC;112825;40586;80306;2279
2024-09-30;3;MT;629493;239748;468052;35691
2024-09-30;3;PB;555606;244825;419255;28850
2024-09-30;3;RO;340664;170272;272399;4766
2024-09-30;3;CE;1357820;697223;1027790;18280
2024-09-30;3;TO;221544;90107;172420;4887
2024-09-30;3;PR;1726761;777463;1328047;66368
2024-09-30;3;RS;1430728;782343;1155502;142410
2024-12-31;4;MT;679021;240031;471586;36743
2024-12-31;4;SE;334721;118937;248344;4905
2024-12-31;4;SP;8856681;3983435;6597126;194036
2024-12-31;4;AL;533497;248559;389325;7439
2024-12-31;4;PE;1307934;573432;918528;30207
2024-12-31;4;MA;674005;299712;471077;9655
2024-12-31;4;BA;2162846;949772;1563021;30543
2024-12-31;4;CE;1438129;700723;1038113;17028
2024-12-31;4;AM;495846;196745;299273;6928
2024-12-31;4;RR;89264;32991;53117;1832
2024-12-31;4;SC;1383356;574680;1031108;58738
2024-12-31;4;PI;341289;147770;246331;5773
2024-12-31;4;RN;599671;295204;432547;11520
2024-12-31;4;PR;1855406;789743;1351803;69764
2024-12-31;4;PB;594644;249810;425514;24306
2024-12-31;4;DF;703553;246689;485350;13293
2024-12-31;4;AC;118719;41093;76585;2363
2024-12-31;4;GO;1459643;515855;995397;33023
2024-12-31;4;RS;1517596;780099;1161113;144900
2024-12-31;4;ES;689156;269939;480803;14359
2024-12-31;4;PA;943120;383025;597346;16069
2024-12-31;4;RO;364796;173842;276286;5047
2024-12-31;4;RJ;2994609;1278183;1957458;42882
2024-12-31;4;MG;3456441;1494289;2541077;62516
2024-12-31;4;TO;234459;90427;171793;5144
2024-12-31;4;MS;509312;177912;362687;14931
2024-12-31;4;AP;109733;41021;66223;1437
2025-03-31;1;AP;123285;40991;69136;1443
2025-03-31;1;RS;1618551;768298;1175893;147648
2025-03-31;1;DF;769726;240887;501686;13594
2025-03-31;1;AC;131559;40451;79021;2325
2025-03-31;1;AL;579437;249143;402175;7602
2025-03-31;1;MT;742257;234870;486156;38304
2025-03-31;1;TO;258490;90305;180824;5154
2025-03-31;1;GO;1598521;506635;1028561;33242
2025-03-31;1;PA;1045077;379369;613737;16443
2025-03-31;1;SE;365145;120236;260447;4888
2025-03-31;1;RJ;3266098;1254074;1976866;43387
2025-03-31;1;PE;1422280;567830;942437;30348
2025-03-31;1;RN;654524;295772;449061;11611
2025-03-31;1;MS;561538;179158;381115;15133
2025-03-31;1;PB;645907;249603;438213;24816
2025-03-31;1;RR;98693;32572;54507;1808
2025-03-31;1;MA;740497;298787;487376;9823
2025-03-31;1;BA;2340209;942345;1600751;30184
2025-03-31;1;SP;9424878;3882169;6652563;184007
2025-03-31;1;AM;557753;195000;310060;7084
2025-03-31;1;ES;749786;264637;493368;14656
2025-03-31;1;RO;391403;171331;281979;5077
2025-03-31;1;MG;3788525;1463101;2660968;62880
2025-03-31;1;PI;374666;146995;256827;5843
2025-03-31;1;PR;1967283;760843;1350020;70531
2025-03-31;1;SC;1468886;546760;1037779;58191
