data_trimestre;trimestre;bandeira;funcao;categoria;modalidade;qtd_cartoes_emitidos;qtd_cartoes_ativos;qtd_transacoes_nacionais;valor_transacoes_nacionais;qtd_transacoes_internacionais;valor_transacoes_internacionais
2020-03-31;1;Elo;Pré-Pago;Básico Internacional;Puro;3464130;2273099;16206876;644145567.66;0;0.00
2020-03-31;1;Elo;Crédito;Intermediário;Puro;3369512;1730931;25208020;2314337378.19;14522;2276885.77
2020-03-31;1;MasterCard;Débito;Empresarial;Puro;542484;119966;2065112;172552643.76;113;68663.24
2020-03-31;1;MasterCard;Débito;Básico Nacional;Co-branded;31;1;2;0.19;0;0.00
2020-03-31;1;VISA;Pré-Pago;Empresarial;Puro;1418;1082;18586;1585466.24;0;0.00
2020-03-31;1;Elo;Crédito;Corporativo;Puro;25057;14393;36725;107512874.04;368;382921.78
2020-03-31;1;VISA;Pré-Pago;Básico Internacional;Puro;9227133;3481868;3948282;334825658.30;2202749;273644063.10
2020-03-31;1;MasterCard;Pré-Pago;Intermediário;Puro;7453316;2951173;49693221;2035795599.63;1;0.01
2020-03-31;1;VISA;Débito;Intermediário;Co-branded;28;6;5;194.19;0;0.00
2020-03-31;1;Elo;Crédito;Básico Nacional;Puro;5357399;3076204;69458398;6000480695.23;79283;27189191.64
2020-03-31;1;Hipercard;Crédito;Empresarial;Puro;2002;1462;10936;5571694.55;1;0.01
2020-03-31;1;VISA;Crédito;Empresarial;Co-branded;10118;1536;15467;8300744.03;202;73926.78
2020-03-31;1;American Express;Crédito;Intermediário;Puro;795247;492970;12048230;1753203070.51;202753;78716008.66
2020-03-31;1;VISA;Crédito;Outros;Híbrido;4453608;474126;7658657;893301467.09;21147;3758586.97
2020-03-31;1;VISA;Crédito;Empresarial;Híbrido;31907;14388;152480;133461750.41;0;0.00
2020-03-31;1;Hipercard;Crédito;Intermediário;Puro;3801971;3590836;52866023;7357019601.10;13;487.32
2020-03-31;1;MasterCard;Crédito;Corporativo;Puro;127079;84561;2669877;875597372.43;186003;131507911.11
2020-03-31;1;MasterCard;Crédito;Empresarial;Co-branded;139413;15361;61677;24682494.62;852;240522.30
2020-03-31;1;Outras;Débito;Outros;Puro;3506872;1876953;42289893;3486382627.64;0;0.00
2020-03-31;1;VISA;Pré-Pago;Básico Nacional;Puro;1894152;286955;1243436;846767147.15;176;138366.23
2020-03-31;1;MasterCard;Débito;Empresarial;Co-branded;125980;44497;816719;48576890.53;23;10292.17
2020-03-31;1;VISA;Crédito;Corporativo;Puro;593016;321426;4333004;1171931210.51;301635;215956751.72
2020-03-31;1;MasterCard;Débito;Premium;Co-branded;70052;14904;208448;15657215.28;160;92577.12
2020-03-31;1;MasterCard;Débito;Básico Internacional;Co-branded;1259493;394765;3968557;173043762.92;226;70699.34
2020-03-31;1;MasterCard;Crédito;Básico Nacional;Puro;7095587;4003561;38987106;3136040286.38;39623;2801528.40
2020-03-31;1;MasterCard;Débito;Intermediário;Co-branded;731240;76758;1133056;57025721.30;131;33513.81
2020-03-31;1;Elo;Débito;Empresarial;Puro;682169;299090;6161181;746715103.28;0;0.00
2020-03-31;1;MasterCard;Pré-Pago;Platinum;Puro;319687;166062;2357891;129224492.81;0;0.00
2020-03-31;1;VISA;Débito;Básico Internacional;Puro;93656666;27530279;505028736;34403343907.56;41619;6418781.64
2020-03-31;1;MasterCard;Débito;Básico Nacional;Puro;906942;481867;11130292;767329324.54;57;24653.31
2020-03-31;1;VISA;Débito;Premium;Puro;524164;281010;7300175;719876458.38;366;72611.70
2020-03-31;1;VISA;Crédito;Platinum;Híbrido;322435;206522;7988122;1200125334.84;110650;36490610.29
2020-03-31;1;Outras;Crédito;Outros;Híbrido;571492;21352;33786;4904118.48;0;0.00
2020-03-31;1;MasterCard;Débito;Platinum;Co-branded;124970;19837;310966;18068713.56;96;40626.09
2020-03-31;1;Elo;Crédito;Outros;Puro;132559;82456;3020957;522447670.64;34305;18863856.19
2020-03-31;1;VISA;Crédito;Básico Nacional;Puro;7553539;4666834;109147498;8484494882.26;182826;22802432.72
2020-03-31;1;VISA;Crédito;Platinum;Co-branded;178951;148598;5151832;842732114.79;121535;43659088.48
2020-03-31;1;Elo;Crédito;Básico Internacional;Co-branded;194796;189351;692041;73499768.43;161;17016.69
2020-03-31;1;VISA;Pré-Pago;Corporativo;Puro;564877;156470;1975306;150422308.76;1241992;201407360.63
2020-03-31;1;MasterCard;Débito;Platinum;Puro;747666;405619;8828793;742082073.68;2594;818545.07
2020-03-31;1;VISA;Crédito;Básico Internacional;Puro;9221965;6583902;156540858;13480564936.81;1006422;167067484.83
2020-03-31;1;MasterCard;Pré-Pago;Básico Nacional;Puro;64149;25434;101625;13352196.06;0;0.00
2020-03-31;1;MasterCard;Crédito;Intermediário;Co-branded;7889014;6722853;90264979;9675886257.45;205644;40117984.89
2020-03-31;1;Elo;Crédito;Básico Internacional;Puro;5572862;2557053;40726546;4731143582.64;109973;41805568.30
2020-03-31;1;Elo;Débito;Básico Nacional;Puro;82265138;44263103;585366338;33610614691.22;0;0.00
2020-03-31;1;VISA;Crédito;Premium;Puro;1184468;898797;65420620;11196372359.74;1888434;940676928.77
2020-03-31;1;MasterCard;Débito;Premium;Puro;220601;115387;1779505;184405276.77;3024;1368372.21
2020-03-31;1;VISA;Débito;Empresarial;Puro;1550409;598554;16666402;1956652685.13;1964;513260.54
2020-03-31;1;VISA;Crédito;Intermediário;Híbrido;808963;497531;11625757;1525615917.70;83424;18702488.31
2020-03-31;1;American Express;Crédito;Empresarial;Puro;18876;11748;543659;245646757.10;28460;32130993.38
2020-03-31;1;VISA;Crédito;Premium;Híbrido;9861;9158;1228415;256300842.96;49385;22634013.31
2020-03-31;1;MasterCard;Crédito;Básico Internacional;Híbrido;422240;254500;3214266;346212732.02;17645;2718673.81
2020-03-31;1;MasterCard;Crédito;Básico Internacional;Co-branded;4993699;2291051;23315395;2147786111.43;91988;12106217.49
2020-03-31;1;MasterCard;Crédito;Platinum;Híbrido;140439;82818;3099580;461953111.15;38842;12044756.74
2020-03-31;1;MasterCard;Pré-Pago;Outros;Puro;12553042;2771590;27419435;2162745262.98;394287;68946117.06
2020-03-31;1;Bandeira própria;Pré-Pago;Outros;Puro;423147;271142;629085;587556543.59;0;0.00
2020-03-31;1;MasterCard;Pré-Pago;Básico Internacional;Puro;178252;8837;201146;16913067.02;39000;7415690.58
2020-03-31;1;VISA;Crédito;Básico Internacional;Híbrido;5375802;3383727;37403855;3980057456.46;151866;22694340.52
2020-03-31;1;MasterCard;Pré-Pago;Corporativo;Puro;12710;6371;342550;21565240.02;1384;881535.43
2020-03-31;1;Outras;Crédito;Intermediário;Puro;28008;7221;88369;12520428.88;185;58999.59
2020-03-31;1;MasterCard;Débito;Intermediário;Puro;43548790;29667496;541356850;31604223710.28;56396;12337845.34
2020-03-31;1;MasterCard;Crédito;Premium;Híbrido;2590;2376;272339;58307048.99;11403;6170678.90
2020-03-31;1;VISA;Crédito;Outros;Puro;271447;233972;2883209;433054415.62;42769;35861032.39
2020-03-31;1;VISA;Pré-Pago;Outros;Puro;3037196;1009874;18116592;960707854.20;166127;30284452.00
2020-03-31;1;VISA;Crédito;Básico Internacional;Co-branded;7282223;3536610;27297922;2244000537.17;52654;5640559.66
2020-03-31;1;Hipercard;Crédito;Intermediário;Co-branded;2;2;21;2211.92;1;0.01
2020-03-31;1;Elo;Crédito;Empresarial;Co-branded;1347;21;10;70390.67;0;0.00
2020-03-31;1;Elo;Crédito;Platinum;Puro;51089;41479;1262343;174345683.68;3733;943326.41
2020-03-31;1;Outras;Crédito;Outros;Co-branded;16781;27;28;1066.27;0;0.00
2020-03-31;1;MasterCard;Débito;Básico Internacional;Puro;79783156;23056120;586461587;35856166412.35;77658;21627271.02
2020-03-31;1;VISA;Débito;Outros;Puro;338;97;254;55049.50;0;0.00
2020-03-31;1;MasterCard;Crédito;Empresarial;Puro;1866914;1440149;18592131;4290711720.46;350602;223190391.63
2020-03-31;1;Elo;Débito;Básico Internacional;Puro;27672238;9665462;244340828;13231024923.08;0;0.00
2020-03-31;1;Bandeira própria;Crédito;Outros;Puro;311301;145941;1993436;192280153.46;0;0.00
2020-03-31;1;Elo;Crédito;Premium;Puro;25358;22378;1071754;169844188.52;6714;2908440.95
2020-03-31;1;Bandeira própria;Crédito;Outros;Híbrido;1725338;911613;6242910;723892552.05;0;0.00
2020-03-31;1;MasterCard;Crédito;Intermediário;Híbrido;5625267;5351081;65486991;7645921446.37;21061;4134507.03
2020-03-31;1;VISA;Débito;Básico Nacional;Co-branded;3368;59;911;87538.19;0;0.00
2020-03-31;1;VISA;Crédito;Básico Nacional;Híbrido;7738243;4337659;33883663;3168797387.99;4;197.04
2020-03-31;1;VISA;Crédito;Platinum;Puro;5472041;4101512;195198802;24753113460.93;3062393;937123142.74
2020-03-31;1;VISA;Débito;Intermediário;Puro;2931958;2057818;48677051;3679196394.62;1731;260332.40
2020-03-31;1;MasterCard;Crédito;Outros;Co-branded;1072141;92;9;778.20;0;0.00
2020-03-31;1;VISA;Débito;Básico Nacional;Puro;8992322;4317864;101425114;6416178296.94;1374;179708.52
2020-03-31;1;Bandeira própria;Débito;Outros;Puro;1017661;392403;4395939;293172072.71;0;0.00
2020-03-31;1;MasterCard;Crédito;Básico Nacional;Co-branded;13299336;1269736;14170115;1606071698.95;56;12444.85
2020-03-31;1;MasterCard;Crédito;Platinum;Puro;6358642;5215112;214499722;26256690082.94;3224107;867685753.34
2020-03-31;1;MasterCard;Crédito;Platinum;Co-branded;442182;353921;12827200;1926995385.92;245234;79808755.90
2020-03-31;1;VISA;Crédito;Básico Nacional;Co-branded;6844313;1126534;10187380;1074108742.63;735;51741.26
2020-03-31;1;MasterCard;Crédito;Básico Nacional;Híbrido;3400596;1430825;16645040;1160815484.90;0;0.00
2020-03-31;1;MasterCard;Crédito;Premium;Puro;2010081;1662114;113390994;19809394001.08;3889650;1816829000.45
2020-03-31;1;MasterCard;Crédito;Intermediário;Puro;35739355;27649253;586218650;49990278319.58;3042592;440709732.76
2020-06-30;2;American Express;Crédito;Empresarial;Puro;22514;17118;354436;152942559.26;1429;1381116.84
2020-06-30;2;MasterCard;Crédito;Intermediário;Co-branded;7446864;6287971;69061888;7827631066.23;111763;15602042.55
2020-06-30;2;VISA;Débito;Empresarial;Puro;1561727;588688;13090179;1643930376.55;750;210879.26
2020-06-30;2;VISA;Débito;Outros;Puro;208;87;1846;92245.21;0;0.00
2020-06-30;2;American Express;Crédito;Intermediário;Puro;515643;317685;6843436;1063460608.50;9083;3696690.11
2020-06-30;2;Bandeira própria;Crédito;Outros;Puro;312544;146492;1624738;171167017.91;0;0.00
2020-06-30;2;MasterCard;Débito;Premium;Puro;219390;113570;953488;118914233.68;251;660696.90
2020-06-30;2;Outras;Crédito;Outros;Co-branded;35509;309;308;18042.43;0;0.00
2020-06-30;2;Elo;Pré-Pago;Básico Internacional;Puro;4489992;2625958;14809558;657380422.07;0;0.00
2020-06-30;2;MasterCard;Crédito;Premium;Co-branded;103889;69975;2019981;484178008.22;35679;16289116.79
2020-06-30;2;MasterCard;Crédito;Premium;Puro;1992506;1637062;75260874;14176742257.62;977352;361366451.22
2020-06-30;2;Outras;Crédito;Básico Nacional;Híbrido;23558;11604;131;53502.47;0;0.00
2020-06-30;2;VISA;Crédito;Platinum;Puro;5462664;4024462;130064322;18214009294.37;978613;203554533.76
2020-06-30;2;MasterCard;Crédito;Intermediário;Puro;35920531;27430997;472523675;44678570967.69;2116409;223656304.48
2020-06-30;2;Elo;Crédito;Empresarial;Co-branded;1300;21;15;137280.51;0;0.00
2020-06-30;2;VISA;Pré-Pago;Básico Internacional;Co-branded;24144;7819;2252;190782.02;0;0.00
2020-06-30;2;MasterCard;Pré-Pago;Básico Nacional;Puro;53716;24239;73918;16888109.74;0;0.00
2020-06-30;2;Bandeira própria;Crédito;Outros;Co-branded;5184948;4126549;2037493;242409893.41;0;0.00
2020-06-30;2;Outras;Débito;Outros;Puro;3509859;1862045;34184812;3116665317.26;0;0.00
2020-06-30;2;VISA;Crédito;Básico Internacional;Híbrido;5608810;3374817;30471419;3242409195.98;147821;13236057.17
2020-06-30;2;VISA;Crédito;Outros;Puro;356611;257696;2678617;356525339.45;17305;4279736.16
2020-06-30;2;Elo;Débito;Básico Internacional;Puro;1221;339;3340;210270.78;0;0.00
2020-06-30;2;Hipercard;Crédito;Platinum;Puro;633711;594405;1976843;331935735.39;1;0.01
2020-06-30;2;Elo;Crédito;Corporativo;Puro;24501;13951;28837;112785975.87;49;207034.71
2020-06-30;2;MasterCard;Crédito;Corporativo;Puro;127748;73876;977456;313868722.70;28466;49451964.45
2020-06-30;2;Elo;Crédito;Premium;Puro;24841;22240;663004;124132608.26;822;540998.22
2020-06-30;2;MasterCard;Crédito;Básico Nacional;Puro;7074222;4019382;31260499;2676341281.71;35372;2232272.46
2020-06-30;2;VISA;Crédito;Básico Nacional;Híbrido;6898300;4152623;25940071;2539260218.90;0;0.00
2020-06-30;2;VISA;Crédito;Básico Internacional;Puro;9648408;6529336;125100489;11700836769.26;465409;57791360.01
2020-06-30;2;MasterCard;Débito;Intermediário;Co-branded;739294;74875;845993;45953189.34;0;0.00
2020-06-30;2;MasterCard;Pré-Pago;Intermediário;Puro;9409151;3743721;55508855;2419910362.39;1;0.01
2020-06-30;2;MasterCard;Débito;Platinum;Co-branded;127784;19095;173075;11783569.12;7;5235.37
2020-06-30;2;VISA;Crédito;Empresarial;Co-branded;7027;1397;12051;12292057.13;115;26936.86
2020-06-30;2;Bandeira própria;Pré-Pago;Outros;Puro;424013;283751;764089;748843199.35;0;0.00
2020-06-30;2;MasterCard;Crédito;Empresarial;Co-branded;169378;18422;49355;24750216.46;518;113064.95
2020-06-30;2;Outras;Crédito;Outros;Puro;257065;178852;93502;23463062.65;6;1203.33
2020-06-30;2;MasterCard;Crédito;Básico Nacional;Híbrido;2875392;1394842;12726893;938293151.12;0;0.00
2020-06-30;2;VISA;Crédito;Empresarial;Híbrido;35120;14228;117202;131284599.12;0;0.00
2020-06-30;2;VISA;Crédito;Intermediário;Híbrido;832281;514703;8604155;1261613835.43;46984;8463099.21
2020-06-30;2;MasterCard;Pré-Pago;Básico Internacional;Puro;175041;6156;148005;13507500.98;26699;5101287.49
2020-06-30;2;MasterCard;Pré-Pago;Empresarial;Puro;8;2;5;55.51;0;0.00
2020-06-30;2;MasterCard;Crédito;Intermediário;Híbrido;5256450;5020925;53223250;6634378847.63;12577;2059048.67
2020-06-30;2;Elo;Crédito;Básico Nacional;Puro;5068165;2909349;54682730;5048057223.58;15516;3895146.70
2020-06-30;2;MasterCard;Débito;Premium;Co-branded;72978;14818;121085;10123199.01;0;0.00
2020-06-30;2;American Express;Crédito;Platinum;Puro;782;782;4990;800347.97;4;1019.28
2020-06-30;2;VISA;Débito;Básico Internacional;Co-branded;43137;10382;99745;8393851.14;0;0.00
2020-06-30;2;MasterCard;Crédito;Básico Internacional;Híbrido;427504;253679;2553712;303182885.66;12400;1572086.91
2020-06-30;2;MasterCard;Débito;Empresarial;Co-branded;155352;56590;830891;55070967.17;0;0.00
2020-06-30;2;MasterCard;Débito;Básico Internacional;Puro;78426893;21846116;464810904;30601830982.25;15372;2635104.52
2020-06-30;2;Elo;Crédito;Básico Internacional;Puro;5259358;2504054;33381473;3896234114.61;6439;2224368.45
2020-06-30;2;VISA;Pré-Pago;Empresarial;Puro;1192;1192;15034;1486561.71;0;0.00
2020-06-30;2;VISA;Débito;Básico Nacional;Puro;8387077;4609917;82010619;5720490536.31;337;57483.59
2020-06-30;2;MasterCard;Crédito;Outros;Híbrido;14104947;5298457;46331589;4535694821.71;91895;8992372.96
2020-06-30;2;Elo;Crédito;Empresarial;Puro;438482;191993;3594010;809840160.78;2685;1774971.58
2020-06-30;2;VISA;Pré-Pago;Outros;Puro;4495640;1430479;24299513;1285375250.00;55441;7364447.87
2020-06-30;2;Outras;Crédito;Intermediário;Puro;13292;5955;43870;6888501.44;192;35189.23
2020-06-30;2;VISA;Débito;Básico Nacional;Co-branded;2149;51;576;61608.18;0;0.00
2020-06-30;2;Hipercard;Crédito;Empresarial;Puro;1947;1302;6708;5231052.94;1;0.01
2020-06-30;2;VISA;Crédito;Platinum;Co-branded;185211;160867;4344844;795107779.17;42972;12087772.88
2020-06-30;2;American Express;Crédito;Corporativo;Puro;95501;59845;1421789;530706662.00;151698;143120074.00
2020-06-30;2;VISA;Débito;Intermediário;Puro;2929308;2064993;32694742;2781899712.38;194;38127.24
2020-06-30;2;Bandeira própria;Débito;Outros;Puro;1020548;394147;3825680;285393497.51;0;0.00
2020-06-30;2;VISA;Débito;Básico Internacional;Puro;90791369;26448461;382075734;28067324944.34;21809;3353082.18
2020-06-30;2;VISA;Débito;Premium;Puro;527788;281501;4088836;487338864.89;26;5514.77
2020-06-30;2;Elo;Pré-Pago;Outros;Puro;36429;5220;82924;6397328.52;17;2528.14
2020-06-30;2;VISA;Crédito;Básico Internacional;Co-branded;7197692;3226080;19238107;1738762093.26;27628;2564075.85
2020-06-30;2;VISA;Pré-Pago;Corporativo;Puro;627460;148194;2079609;158798426.05;874563;148802185.60
2020-06-30;2;VISA;Pré-Pago;Básico Nacional;Puro;1991704;298723;1460321;802326783.64;203;140847.28
2020-06-30;2;VISA;Crédito;Platinum;Híbrido;331931;214429;5502700;931706641.89;47340;13909586.04
2020-06-30;2;MasterCard;Crédito;Básico Internacional;Puro;11391322;6602953;91864343;8839649870.19;415587;75969962.31
2020-06-30;2;MasterCard;Débito;Empresarial;Puro;616631;156894;3157578;247241315.17;0;0.00
2020-06-30;2;Elo;Débito;Básico Nacional;Puro;164608445;61856529;777786272;49087770767.42;0;0.00
2020-06-30;2;MasterCard;Crédito;Platinum;Co-branded;447118;358091;8747450;1484446034.18;75571;19248714.41
2020-06-30;2;Elo;Crédito;Outros;Puro;141943;87385;2352545;429656079.11;2309;1316477.10
2020-06-30;2;Elo;Crédito;Básico Internacional;Co-branded;197303;197022;485416;42549337.13;156;23049.49
2020-06-30;2;MasterCard;Crédito;Platinum;Híbrido;138750;82720;2126515;358097836.81;16640;4238953.06
2020-06-30;2;MasterCard;Crédito;Outros;Co-branded;1072358;90;12;748.45;0;0.00
2020-06-30;2;MasterCard;Pré-Pago;Platinum;Puro;413543;174214;1781666;115164638.12;0;0.00
2020-06-30;2;MasterCard;Pré-Pago;Outros;Puro;13352572;2616902;23550200;1837590022.71;234457;37879758.10
2020-06-30;2;MasterCard;Débito;Intermediário;Puro;45088619;30228820;414799998;25807109723.37;9590;1968352.24
2020-06-30;2;VISA;Crédito;Empresarial;Puro;1419288;799686;16118369;3899909154.60;144216;125882296.25
2020-06-30;2;Hipercard;Crédito;Intermediário;Puro;3058865;2844010;38280186;5759117575.19;34;3746.23
2020-06-30;2;VISA;Crédito;Outros;Híbrido;4513182;505717;6164324;743585929.28;15616;2139339.67
2020-06-30;2;VISA;Pré-Pago;Platinum;Puro;17407;220;0;0.00;3203;1204275.01
2020-06-30;2;Elo;Crédito;Platinum;Puro;45831;39918;842512;134616385.19;881;143443.80
2020-06-30;2;VISA;Crédito;Básico Nacional;Puro;8650043;5173493;94045443;7597058935.53;152173;14914214.64
2020-06-30;2;MasterCard;Débito;Básico Internacional;Co-branded;1535725;479480;4247697;194762556.77;46;6297.13
2020-06-30;2;American Express;Crédito;Premium;Puro;418694;259285;7428240;1764406457.41;32278;27559695.49
2020-06-30;2;VISA;Débito;Intermediário;Co-branded;25;5;17;1296.64;0;0.00
2020-06-30;2;MasterCard;Pré-Pago;Corporativo;Puro;17531;4946;234497;15527993.80;1062;835983.03
2020-06-30;2;MasterCard;Crédito;Outros;Puro;251981;44726;513919;49704405.40;351;52107.91
2020-06-30;2;VISA;Crédito;Intermediário;Puro;8287040;6427729;131464835;16264355628.01;401085;62652308.29
2020-06-30;2;American Express;Crédito;Básico Nacional;Puro;101735;32189;757677;93142883.56;449;131469.19
2020-06-30;2;MasterCard;Crédito;Básico Nacional;Co-branded;13248665;1131879;10630541;1269509788.28;23;1435.90
2020-06-30;2;Elo;Pré-Pago;Básico Nacional;Puro;994851;112051;204630;13131374.82;37;3387.62
2020-06-30;2;VISA;Crédito;Premium;Puro;1252306;950375;45811161;8388279453.84;287677;127289958.91
2020-06-30;2;MasterCard;Crédito;Premium;Híbrido;2584;2356;187963;45833959.48;2935;1747464.24
2020-06-30;2;Elo;Crédito;Intermediário;Puro;2976507;1650448;23756072;2108405250.99;9053;1053253.60
2020-06-30;2;Elo;Débito;Corporativo;Puro;1889;1;1;170.50;0;0.00
2020-06-30;2;MasterCard;Crédito;Platinum;Puro;6322874;5138768;144721209;20125251470.83;1211964;252500055.57
2020-06-30;2;VISA;Crédito;Intermediário;Co-branded;860222;474585;6915507;916084944.06;32525;5640429.55
2020-06-30;2;VISA;Crédito;Corporativo;Puro;582477;308671;2126425;694049195.18;36329;62163598.17
2020-06-30;2;Elo;Débito;Empresarial;Puro;711850;301075;4930991;643004234.76;0;0.00
2020-06-30;2;MasterCard;Crédito;Empresarial;Puro;1828873;1433032;14934954;3729344118.83;261898;170598096.75
2020-06-30;2;MasterCard;Débito;Platinum;Puro;723920;392348;5102122;502983199.49;323;931394.28
2020-06-30;2;VISA;Crédito;Básico Nacional;Co-branded;6796304;1047362;7799732;857471790.98;210;11413.95
2020-06-30;2;MasterCard;Crédito;Empresarial;Híbrido;13895;10462;115987;34333166.46;2361;1298656.83
2020-06-30;2;VISA;Crédito;Premium;Híbrido;9932;9255;864788;204916677.61;12778;6640623.35
2020-06-30;2;VISA;Débito;Platinum;Puro;1787415;1116858;21757092;2194905999.66;22;5058.49
2020-06-30;2;MasterCard;Crédito;Básico Internacional;Co-branded;5243811;2259647;16617251;1708599001.18;55414;6302072.12
2020-06-30;2;Bandeira própria;Crédito;Outros;Híbrido;1732520;839457;4703589;600462637.98;0;0.00
2020-06-30;2;MasterCard;Débito;Básico Nacional;Puro;816748;472616;8057255;618633072.79;1;1074.33
2020-06-30;2;VISA;Pré-Pago;Básico Internacional;Puro;12272331;3418737;4876200;297672961.48;1416034;190151466.65
2020-06-30;2;Bandeira própria;Crédito;Básico Nacional;Co-branded;4154066;942807;2824987;221879638.33;0;0.00
2020-06-30;2;VISA;Crédito;Premium;Co-branded;239;141;4094;865784.85;52;2508.49
2020-09-30;3;MasterCard;Crédito;Outros;Puro;236669;44632;676587;65810522.05;1312;320365.85
2020-09-30;3;Elo;Débito;Empresarial;Puro;787387;313495;6767383;955452296.46;0;0.00
2020-09-30;3;VISA;Pré-Pago;Outros;Puro;6132020;2210901;44579588;2423750297.09;89400;11493677.37
2020-09-30;3;Bandeira própria;Crédito;Outros;Híbrido;2063874;830268;5282137;785763221.38;0;0.00
2020-09-30;3;Elo;Débito;Básico Internacional;Puro;1183;310;4042;254973.63;0;0.00
2020-09-30;3;Elo;Crédito;Outros;Puro;155720;95767;2732735;542096488.87;2887;2210585.65
2020-09-30;3;MasterCard;Débito;Platinum;Co-branded;131141;18734;257449;17726882.92;8;735.99
2020-09-30;3;VISA;Débito;Básico Nacional;Puro;8782412;4891012;107702982;7742014654.83;494;85683.80
2020-09-30;3;VISA;Crédito;Platinum;Híbrido;338360;218867;7207883;1285373260.31;52451;16844025.92
2020-09-30;3;MasterCard;Pré-Pago;Outros;Puro;10313464;2269661;27769884;1929351688.78;225360;32530986.79
2020-09-30;3;Hipercard;Crédito;Intermediário;Puro;29495;25223;4989505;789087464.53;1;821.07
2020-09-30;3;MasterCard;Crédito;Intermediário;Co-branded;7376436;6211187;80867989;9533067906.82;115367;19646084.96
2020-09-30;3;MasterCard;Crédito;Outros;Co-branded;1072295;70;28;73.45;0;0.00
2020-09-30;3;VISA;Crédito;Empresarial;Híbrido;48143;14374;124136;161152785.69;0;0.00
2020-09-30;3;Elo;Débito;Básico Nacional;Puro;206169023;74772472;1052717581;91186778533.76;0;0.00
2020-09-30;3;VISA;Crédito;Premium;Híbrido;10071;9399;1123699;272721726.29;15170;8483606.31
2020-09-30;3;VISA;Crédito;Básico Nacional;Co-branded;6770035;981226;8685461;984144336.72;365;19416.47
2020-09-30;3;MasterCard;Pré-Pago;Empresarial;Puro;297;77;478;28964.42;0;0.00
2020-09-30;3;MasterCard;Débito;Básico Nacional;Puro;799586;461246;9927481;774832185.63;4;5565.13
2020-09-30;3;Outras;Crédito;Intermediário;Híbrido;21489;11958;37449;6514244.83;0;0.00
2020-09-30;3;MasterCard;Crédito;Empresarial;Co-branded;193490;19794;70550;29417091.64;712;202859.84
2020-09-30;3;American Express;Crédito;Corporativo;Puro;83880;60345;1126259;418445735.07;115841;113088385.46
2020-09-30;3;MasterCard;Débito;Empresarial;Puro;731412;205677;5129364;410762303.47;0;0.00
2020-09-30;3;VISA;Débito;Intermediário;Co-branded;21;2;1;157.85;0;0.00
2020-09-30;3;MasterCard;Débito;Intermediário;Puro;46870926;30815042;536186713;34579433973.46;12561;2835923.74
2020-09-30;3;VISA;Crédito;Intermediário;Co-branded;869991;471753;8393179;1151988678.76;33318;7380582.49
2020-09-30;3;MasterCard;Débito;Platinum;Puro;710103;378675;6939338;673209680.62;340;102380.50
2020-09-30;3;Elo;Crédito;Intermediário;Puro;2986762;1655127;26125677;2762616367.02;15949;1998199.18
